Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2017-2018,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,25.0,37.0,3330.0,90.0,97.4,37.0,37.0,90.0,37.0,0.0,,1.0,2.43,94.0,28.0,66.0,1.78,-2.22,80.7,41.0,39.8,1.07,-0.73,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Lionel Messi,ar ARG,FW,30.0,36.0,3000.0,83.0,87.7,33.3,32.0,90.0,32.0,4.0,30.0,0.0,2.5,91.0,21.0,70.0,2.1,2.1,76.0,32.7,43.4,1.3,1.68,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Luis Suárez,uy URU,FW,30.0,33.0,2899.0,88.0,84.8,32.2,32.0,90.0,28.0,1.0,30.0,2.0,2.42,82.0,25.0,57.0,1.77,-0.48,70.7,34.5,36.2,1.12,0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Ivan Rakitić,hr CRO,MF,29.0,35.0,2835.0,81.0,82.9,31.5,31.0,87.0,24.0,4.0,31.0,1.0,2.51,82.0,22.0,60.0,1.9,0.37,70.4,30.0,40.4,1.28,1.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Jordi Alba,es ESP,DF,28.0,33.0,2744.0,83.0,80.2,30.5,30.0,89.0,27.0,3.0,24.0,3.0,2.48,81.0,21.0,60.0,1.97,0.64,70.9,31.7,39.2,1.29,0.97,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Sergio Busquets,es ESP,MF,29.0,31.0,2593.0,84.0,75.8,28.8,30.0,86.0,22.0,1.0,24.0,2.0,2.45,72.0,23.0,49.0,1.7,-0.58,60.2,31.2,29.1,1.01,-0.35,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Gerard Piqué,es ESP,DF,30.0,30.0,2632.0,88.0,77.0,29.2,29.0,89.0,27.0,1.0,60.0,6.0,2.57,81.0,23.0,58.0,1.98,0.61,70.9,30.3,40.6,1.39,1.28,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Andrés Iniesta,es ESP,MF,33.0,30.0,1824.0,61.0,53.3,20.3,25.0,69.0,3.0,5.0,22.0,2.0,2.37,45.0,18.0,27.0,1.33,-1.09,38.4,24.9,13.5,0.66,-0.92,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Sergi Roberto,es ESP,DF,25.0,30.0,2225.0,74.0,65.1,24.7,24.0,86.0,17.0,6.0,26.0,0.0,2.47,58.0,12.0,46.0,1.86,0.05,53.5,23.0,30.5,1.23,0.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Samuel Umtiti,fr FRA,DF,23.0,25.0,2189.0,88.0,64.0,24.3,24.0,89.0,23.0,1.0,48.0,3.0,2.44,59.0,17.0,42.0,1.73,-0.32,49.2,26.1,23.2,0.95,-0.39,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Paulinho,br BRA,MF,29.0,34.0,1945.0,57.0,56.9,21.6,21.0,81.0,13.0,13.0,18.0,2.0,2.47,55.0,16.0,39.0,1.8,-0.09,49.8,26.6,23.1,1.07,-0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Nélson Semedo,pt POR,DF,23.0,24.0,1493.0,62.0,43.7,16.6,17.0,81.0,11.0,7.0,16.0,6.0,2.46,50.0,18.0,32.0,1.93,0.15,36.2,19.8,16.3,0.98,-0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Philippe Coutinho,br BRA,"MF,FW",25.0,18.0,1296.0,72.0,37.9,14.4,16.0,77.0,6.0,2.0,31.0,0.0,2.17,33.0,16.0,17.0,1.18,-1.07,25.2,18.8,6.4,0.45,-1.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Thomas Vermaelen,be BEL,DF,31.0,14.0,1018.0,73.0,29.8,11.3,12.0,81.0,10.0,2.0,23.0,9.0,2.21,30.0,10.0,20.0,1.77,-0.11,26.5,14.7,11.8,1.04,-0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Ousmane Dembélé,fr FRA,"FW,MF",20.0,17.0,925.0,54.0,27.0,10.3,12.0,68.0,2.0,5.0,21.0,3.0,2.35,30.0,14.0,16.0,1.56,-0.39,22.3,15.0,7.4,0.72,-0.52,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Lucas Digne,fr FRA,DF,24.0,12.0,704.0,59.0,20.6,7.8,8.0,83.0,6.0,4.0,10.0,19.0,2.33,17.0,7.0,10.0,1.28,-0.71,12.6,10.3,2.3,0.3,-1.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Paco Alcácer,es ESP,"MF,FW",23.0,17.0,695.0,41.0,20.3,7.7,8.0,67.0,1.0,9.0,18.0,11.0,2.12,19.0,3.0,16.0,2.07,0.29,20.0,8.1,11.9,1.54,0.56,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,André Gomes,pt POR,MF,24.0,16.0,635.0,40.0,18.6,7.1,6.0,77.0,2.0,10.0,17.0,10.0,2.75,16.0,5.0,11.0,1.56,-0.35,15.1,6.2,8.9,1.27,0.21,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Javier Mascherano,ar ARG,DF,33.0,7.0,541.0,77.0,15.8,6.0,6.0,90.0,6.0,1.0,1.0,7.0,3.0,19.0,1.0,18.0,2.99,1.37,12.2,4.1,8.0,1.33,0.28,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Gerard Deulofeu,es ESP,"MF,FW",23.0,10.0,503.0,50.0,14.7,5.6,5.0,71.0,0.0,5.0,30.0,3.0,2.6,19.0,2.0,17.0,3.04,1.41,12.7,3.4,9.3,1.66,0.66,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Denis Suárez,es ESP,"MF,FW",23.0,18.0,595.0,33.0,17.4,6.6,4.0,82.0,3.0,14.0,19.0,9.0,2.39,23.0,5.0,18.0,2.72,1.07,18.2,10.9,7.3,1.11,0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Aleix Vidal,es ESP,"MF,FW",27.0,15.0,460.0,31.0,13.5,5.1,4.0,59.0,0.0,11.0,20.0,8.0,2.6,17.0,2.0,15.0,2.93,1.26,15.5,6.7,8.8,1.73,0.73,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Yerry Mina,co COL,DF,22.0,5.0,371.0,74.0,10.8,4.1,4.0,90.0,4.0,1.0,11.0,5.0,1.6,9.0,7.0,2.0,0.49,-1.52,7.3,8.3,-1.1,-0.26,-1.51,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
