Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2001-2002,Ligue1,Lyon,Grégory Coupet,fr FRA,GK,28.0,34.0,34.0,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Philippe Violeau,fr FRA,MF,30.0,30.0,30.0,2582.0,28.7,4.0,1.0,5.0,4.0,0.0,0.0,4.0,2.0,,,,0.14,0.03,0.17,0.14,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Patrick Müller,ch SUI,DF,24.0,30.0,27.0,2493.0,27.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.04,0.04,0.0,0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Juninho Pernambucano,br BRA,MF,26.0,29.0,26.0,2238.0,24.9,5.0,8.0,13.0,4.0,1.0,1.0,1.0,0.0,,,,0.2,0.32,0.52,0.16,0.48,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Jérémie Bréchet,fr FRA,"DF,MF",21.0,28.0,24.0,2210.0,24.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.04,0.04,0.0,0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Éric Carrière,fr FRA,MF,28.0,27.0,24.0,2057.0,22.9,4.0,7.0,11.0,,,,2.0,0.0,,,,0.18,0.31,0.48,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Sidney Govou,fr FRA,"FW,MF",22.0,29.0,24.0,2033.0,22.6,10.0,5.0,15.0,10.0,0.0,0.0,5.0,0.0,,,,0.44,0.22,0.66,0.44,0.66,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Sonny Anderson,br BRA,FW,30.0,25.0,23.0,1912.0,21.2,14.0,2.0,16.0,12.0,2.0,3.0,1.0,0.0,,,,0.66,0.09,0.75,0.56,0.66,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Éric Deflandre,be BEL,DF,27.0,21.0,20.0,1816.0,20.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.05,0.05,0.0,0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,David Linarès,fr FRA,MF,25.0,27.0,19.0,1694.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Edmílson,br BRA,"DF,MF",25.0,18.0,17.0,1506.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Pierre Laigle,fr FRA,"DF,MF",30.0,27.0,16.0,1418.0,15.8,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,,,,0.13,0.19,0.32,0.13,0.32,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Jean-Marc Chanelet,fr FRA,DF,33.0,19.0,15.0,1333.0,14.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,,,,0.07,0.07,0.14,0.07,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Christophe Delmotte,fr FRA,"DF,MF",32.0,26.0,14.0,1441.0,16.0,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,,,,0.31,0.19,0.5,0.31,0.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Marc-Vivien Foé,cm CMR,MF,26.0,18.0,14.0,1256.0,14.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,,,,0.14,0.0,0.14,0.14,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Caçapa,br BRA,"DF,MF",25.0,15.0,14.0,1231.0,13.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.07,0.07,0.0,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Florent Laville,fr FRA,DF,27.0,13.0,11.0,876.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Frédéric Née,fr FRA,FW,26.0,18.0,10.0,984.0,10.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,,,,0.18,0.0,0.18,0.18,0.18,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Péguy Luyindula,fr FRA,"FW,MF",22.0,21.0,8.0,858.0,9.5,6.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,,,,0.63,0.21,0.84,0.63,0.84,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Steve Marlet,fr FRA,"FW,MF",27.0,5.0,4.0,417.0,4.6,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,0.22,0.43,0.65,0.22,0.65,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Bryan Bergougnoux,fr FRA,"FW,MF",18.0,1.0,0.0,22.0,0.2,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Alexandre Hauw,fr FRA,MF,19.0,1.0,0.0,6.0,0.1,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Squad Total,,,27.2,34.0,375.0,,,56.0,38.0,94.0,53.0,3.0,4.0,42.0,4.0,,,,1.65,1.12,2.76,1.56,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Opponent Total,,,26.0,34.0,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Guillaume Warmuz,fr FRA,GK,31.0,,34.0,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Jocelyn Blanchard,fr FRA,MF,29.0,,34.0,2958.0,32.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,,,,0.03,0.0,0.03,0.03,0.03,Matches,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Valérien Ismaël,fr FRA,DF,25.0,,33.0,2759.0,30.7,4.0,1.0,5.0,4.0,0.0,0.0,7.0,0.0,,,,0.13,0.03,0.16,0.13,0.16,Matches,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Jean-Guy Wallemme,fr FRA,DF,33.0,,32.0,2841.0,31.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.03,0.03,0.0,0.03,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Daniel Moreira,fr FRA,FW,23.0,,30.0,2645.0,29.4,12.0,4.0,16.0,12.0,0.0,0.0,1.0,0.0,,,,0.41,0.14,0.54,0.41,0.54,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Stéphane Pédron,fr FRA,MF,30.0,,30.0,2507.0,27.9,6.0,11.0,17.0,6.0,0.0,0.0,3.0,0.0,,,,0.22,0.39,0.61,0.22,0.61,Matches,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Ferdinand Coly,sn SEN,DF,27.0,,26.0,2219.0,24.7,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,,,,0.04,0.04,0.08,0.04,0.08,Matches,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,El Hadji Diouf,sn SEN,"FW,MF",20.0,,26.0,2200.0,24.4,10.0,4.0,14.0,8.0,2.0,2.0,10.0,0.0,,,,0.41,0.16,0.57,0.33,0.49,Matches,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Charles-Édouard Coridon,mq MTQ,MF,28.0,,24.0,2047.0,22.7,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,,,,0.13,0.04,0.18,0.13,0.18,Matches,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Adama Coulibaly,ml MLI,"DF,MF",20.0,,18.0,1669.0,18.5,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,,,,0.11,0.05,0.16,0.11,0.16,Matches,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Antoine Sibierski,fr FRA,"FW,MF",26.0,,17.0,1610.0,17.9,6.0,0.0,6.0,5.0,1.0,1.0,1.0,0.0,,,,0.34,0.0,0.34,0.28,0.28,Matches,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Jacek Bąk,pl POL,DF,28.0,,14.0,1172.0,13.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,,,,0.15,0.0,0.15,0.15,0.15,Matches,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Pape Sarr,sn SEN,MF,23.0,,13.0,1205.0,13.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,,,,0.07,0.0,0.07,0.07,0.07,Matches,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Yohan Lachor,fr FRA,DF,25.0,,13.0,1187.0,13.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,,,,0.08,0.15,0.23,0.08,0.23,Matches,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Éric Sikora,fr FRA,DF,33.0,,12.0,1193.0,13.3,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.23,0.23,0.0,0.23,Matches,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Djimi Traoré,ml MLI,DF,21.0,,11.0,1022.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Lamine Sakho,sn SEN,"FW,MF",23.0,,5.0,652.0,7.2,4.0,,,3.0,1.0,1.0,2.0,0.0,,,,0.55,,,0.41,,Matches,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Bruno Rodriguez,fr FRA,FW,28.0,,3.0,329.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.27,0.27,0.0,0.27,Matches,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Mickaël Debève,fr FRA,MF,30.0,,1.0,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Papa Bouba Diop,sn SEN,"DF,MF",23.0,,0.0,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Mathieu Bucher,fr FRA,FW,19.0,,0.0,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,1.0,0.0,1.0,1.0,1.0,Matches,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Franck Queudrue,fr FRA,DF,22.0,,0.0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Daouda Jabi,gn GUI,DF,20.0,,0.0,15.0,0.2,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,Matches,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Radek Bejbl,cz CZE,"DF,MF",28.0,,0.0,5.0,0.1,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,Matches,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Squad Total,,,27.4,,376.0,,,54.0,30.0,84.0,50.0,4.0,4.0,67.0,2.0,,,,1.59,0.88,2.47,1.47,2.35,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Opponent Total,,,25.9,,376.0,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Jean-Alain Boumsong,fr FRA,DF,21.0,34.0,34.0,3060.0,34.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,,,,0.03,0.0,0.03,0.03,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Fabien Cool,fr FRA,GK,28.0,34.0,34.0,3023.0,33.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Jean-Sébastien Jaurès,fr FRA,DF,23.0,33.0,33.0,2970.0,33.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,,,,0.0,0.09,0.09,0.0,0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Philippe Mexès,fr FRA,DF,19.0,30.0,30.0,2700.0,30.0,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,,,,0.1,0.03,0.13,0.1,0.13,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Yann Lachuer,fr FRA,MF,28.0,30.0,30.0,2699.0,30.0,3.0,5.0,8.0,3.0,0.0,0.0,4.0,0.0,,,,0.1,0.17,0.27,0.1,0.27,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Johan Radet,fr FRA,DF,24.0,30.0,30.0,2655.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Djibril Cissé,fr FRA,FW,19.0,29.0,29.0,2553.0,28.4,22.0,4.0,26.0,20.0,2.0,2.0,3.0,0.0,,,,0.78,0.14,0.92,0.71,0.85,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Khalilou Fadiga,sn SEN,MF,26.0,27.0,27.0,2379.0,26.4,8.0,6.0,14.0,5.0,3.0,4.0,5.0,0.0,,,,0.3,0.23,0.53,0.19,0.42,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Teemu Tainio,fi FIN,MF,21.0,28.0,27.0,2322.0,25.8,3.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,,,,0.12,0.0,0.12,0.12,0.12,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Olivier Kapo,fr FRA,"FW,MF",20.0,25.0,25.0,2143.0,23.8,4.0,8.0,12.0,4.0,0.0,0.0,3.0,0.0,,,,0.17,0.34,0.5,0.17,0.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Lassina Diabaté,ci CIV,"DF,MF",26.0,23.0,20.0,1782.0,19.8,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,,,,0.0,0.05,0.05,0.0,0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Amdy Faye,sn SEN,"DF,MF",24.0,20.0,16.0,1503.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Lionel Mathis,fr FRA,MF,19.0,25.0,16.0,1494.0,16.6,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,,,,0.12,0.0,0.12,0.12,0.12,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Arnaud Gonzalez,fr FRA,"FW,MF",23.0,12.0,6.0,659.0,7.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,0.14,0.0,0.14,0.14,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Frédéric Jay,fr FRA,DF,24.0,6.0,5.0,453.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.2,0.2,0.0,0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Jean-Joël Perrier-Doumbé,cm CMR,DF,22.0,5.0,3.0,316.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Pantxi Sirieix,fr FRA,MF,20.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,David Vandenbossche,fr FRA,"FW,MF",20.0,6.0,3.0,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Piotr Włodarczyk,pl POL,FW,24.0,7.0,1.0,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Pedro Reyes,cl CHI,DF,28.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Kuami Agboh,tg TOG,MF,23.0,1.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Ronan Le Crom,fr FRA,GK,27.0,1.0,0.0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Nicolas Marin,fr FRA,"FW,MF",20.0,1.0,0.0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Auxerre,Hélder Esteves,fr FRA,FW,24.0,2.0,0.0,32.0,0.4,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
