season,league,team,unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,unnamed:_24_level_0_matches,playing_time_mp
2020-2021,EPL,Manchester City,Ederson,br BRA,GK,26.0,0.0,36.0,3240.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,36.0
2020-2021,EPL,Manchester City,Rúben Dias,pt POR,DF,23.0,0.0,32.0,2843.0,31.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,38.0,154.0,5.0,0.03,0.0,0.03,0.03,0.03,0.0,32.0
2020-2021,EPL,Manchester City,Rodri,es ESP,MF,24.0,0.0,31.0,2748.0,30.5,2.0,2.0,4.0,1.0,1.0,1.0,6.0,0.0,42.0,227.0,31.0,0.07,0.07,0.13,0.03,0.1,0.0,34.0
2020-2021,EPL,Manchester City,Raheem Sterling,eng ENG,FW,25.0,0.0,28.0,2536.0,28.2,10.0,7.0,17.0,10.0,0.0,1.0,4.0,0.0,129.0,67.0,351.0,0.35,0.25,0.6,0.35,0.6,0.0,31.0
2020-2021,EPL,Manchester City,João Cancelo,pt POR,"DF,MF",26.0,0.0,27.0,2299.0,25.5,2.0,3.0,5.0,2.0,0.0,0.0,5.0,1.0,80.0,200.0,150.0,0.08,0.12,0.2,0.08,0.2,0.0,28.0
2020-2021,EPL,Manchester City,Bernardo Silva,pt POR,"MF,FW",25.0,0.0,24.0,2065.0,22.9,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,123.0,116.0,173.0,0.09,0.26,0.35,0.09,0.35,0.0,26.0
2020-2021,EPL,Manchester City,İlkay Gündoğan,de GER,MF,29.0,0.0,23.0,2029.0,22.5,13.0,2.0,15.0,12.0,1.0,2.0,1.0,0.0,69.0,167.0,92.0,0.58,0.09,0.67,0.53,0.62,0.0,28.0
2020-2021,EPL,Manchester City,Kevin De Bruyne,be BEL,MF,29.0,0.0,23.0,1997.0,22.2,6.0,12.0,18.0,4.0,2.0,3.0,1.0,0.0,102.0,213.0,186.0,0.27,0.54,0.81,0.18,0.72,0.0,25.0
2020-2021,EPL,Manchester City,Riyad Mahrez,dz ALG,FW,29.0,0.0,23.0,1949.0,21.7,9.0,6.0,15.0,9.0,0.0,0.0,0.0,0.0,88.0,88.0,247.0,0.42,0.28,0.69,0.42,0.69,0.0,27.0
2020-2021,EPL,Manchester City,Gabriel Jesus,br BRA,FW,23.0,0.0,22.0,2063.0,22.9,9.0,4.0,13.0,9.0,0.0,0.0,2.0,0.0,54.0,41.0,202.0,0.39,0.17,0.57,0.39,0.57,0.0,29.0
2020-2021,EPL,Manchester City,Kyle Walker,eng ENG,DF,30.0,0.0,22.0,1946.0,21.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,80.0,130.0,71.0,0.05,0.05,0.09,0.05,0.09,0.0,24.0
2020-2021,EPL,Manchester City,John Stones,eng ENG,DF,26.0,0.0,22.0,1933.0,21.5,4.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,38.0,101.0,3.0,0.19,0.0,0.19,0.19,0.19,0.0,22.0
2020-2021,EPL,Manchester City,Phil Foden,eng ENG,"FW,MF",20.0,0.0,17.0,1616.0,18.0,9.0,5.0,14.0,9.0,0.0,0.0,0.0,0.0,81.0,69.0,213.0,0.5,0.28,0.78,0.5,0.78,0.0,28.0
2020-2021,EPL,Manchester City,Oleksandr Zinchenko,ua UKR,DF,23.0,0.0,15.0,1478.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,118.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2020-2021,EPL,Manchester City,Ferrán Torres,es ESP,"FW,MF",20.0,0.0,15.0,1306.0,14.5,7.0,2.0,9.0,7.0,0.0,0.0,1.0,0.0,30.0,31.0,118.0,0.48,0.14,0.62,0.48,0.62,0.0,24.0
2020-2021,EPL,Manchester City,Aymeric Laporte,es ESP,DF,26.0,0.0,14.0,1344.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2020-2021,EPL,Manchester City,Fernandinho,br BRA,MF,35.0,0.0,12.0,1188.0,13.2,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,31.0,114.0,5.0,0.0,0.15,0.15,0.0,0.15,0.0,21.0
2020-2021,EPL,Manchester City,Benjamin Mendy,fr FRA,DF,26.0,0.0,11.0,953.0,10.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,13.0,29.0,74.0,0.19,0.09,0.28,0.19,0.28,0.0,13.0
2020-2021,EPL,Manchester City,Nathan Aké,nl NED,DF,25.0,0.0,9.0,797.0,8.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,12.0,52.0,6.0,0.11,0.0,0.11,0.11,0.11,0.0,10.0
2020-2021,EPL,Manchester City,Sergio Agüero,ar ARG,FW,32.0,0.0,7.0,559.0,6.2,4.0,1.0,5.0,3.0,1.0,2.0,0.0,0.0,12.0,12.0,39.0,0.64,0.16,0.81,0.48,0.64,0.0,12.0
2020-2021,EPL,Manchester City,Eric García,es ESP,DF,19.0,0.0,3.0,383.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-2021,EPL,Manchester City,Scott Carson,eng ENG,GK,34.0,0.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-2021,EPL,Manchester City,Zack Steffen,us USA,GK,25.0,0.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-2021,EPL,Manchester City,Liam Delap,eng ENG,FW,17.0,0.0,0.0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-2021,EPL,Manchester City,Adrian Bernabe,es ESP,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,EPL,Manchester City,Thomas Doyle,eng ENG,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,EPL,Manchester City,Claudio Gomes,fr FRA,MF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,EPL,Manchester City,Taylor Harwood-Bellis,eng ENG,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,EPL,Manchester City,Felix Kalu Nmecha,de GER,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,EPL,Manchester City,Luke Mbete-Tatu,eng ENG,DF,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,EPL,Manchester City,Nicolás Otamendi,ar ARG,DF,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,EPL,Manchester City,Cole Palmer,eng ENG,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,EPL,Manchester City,James Trafford,eng ENG,GK,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,EPL,Manchester City,Squad Total,0,0,26.1,0.0,418.0,3420.0,38.0,82.0,55.0,137.0,77.0,5.0,9.0,46.0,2.0,1096.0,2051.0,2033.0,2.16,1.45,3.61,2.03,3.47,0.0,38.0
2020-2021,EPL,Manchester City,Opponent Total,0,0,26.4,0.0,418.0,3420.0,38.0,31.0,17.0,48.0,23.0,8.0,10.0,61.0,2.0,537.0,850.0,840.0,0.82,0.45,1.26,0.61,1.05,0.0,38.0
2020-2021,EPL,Manchester Utd,Bruno Fernandes,pt POR,MF,25.0,37.0,35.0,3099.0,34.4,18.0,12.0,30.0,9.0,9.0,10.0,6.0,0.0,80.0,285.0,263.0,0.52,0.35,0.87,0.26,0.61,0.0,0.0
2020-2021,EPL,Manchester Utd,Aaron Wan-Bissaka,eng ENG,DF,22.0,34.0,34.0,3060.0,34.0,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,89.0,145.0,176.0,0.06,0.12,0.18,0.06,0.18,0.0,0.0
2020-2021,EPL,Manchester Utd,Harry Maguire,eng ENG,DF,27.0,34.0,34.0,3047.0,33.9,2.0,1.0,3.0,2.0,0.0,0.0,11.0,0.0,42.0,194.0,14.0,0.06,0.03,0.09,0.06,0.09,0.0,0.0
2020-2021,EPL,Manchester Utd,Marcus Rashford,eng ENG,FW,22.0,37.0,33.0,2920.0,32.4,11.0,9.0,20.0,11.0,0.0,0.0,4.0,0.0,134.0,117.0,330.0,0.34,0.28,0.62,0.34,0.62,0.0,0.0
2020-2021,EPL,Manchester Utd,Luke Shaw,eng ENG,DF,25.0,32.0,30.0,2654.0,29.5,1.0,5.0,6.0,1.0,0.0,0.0,8.0,0.0,110.0,147.0,209.0,0.03,0.17,0.2,0.03,0.2,0.0,0.0
