Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2003-2004,LaLiga,Valencia,Santiago Cañizares,es ESP,GK,33.0,37.0,37.0,3330.0,37.0,25.0,0.68,136.0,111.0,81.6,23.0,8.0,6.0,20.0,54.1,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,Valencia,David Rangel Pastor,es ESP,GK,24.0,1.0,1.0,90.0,1.0,2.0,2.0,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,Valencia,Squad Total,,,27.3,38.0,38.0,3420.0,,27.0,0.71,142.0,115.0,81.0,23.0,8.0,7.0,20.0,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,Valencia,Opponent Total,,,26.5,38.0,38.0,,,,,,,,7.0,8.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,Barcelona,Víctor Valdés,es ESP,GK,21.0,33.0,33.0,2914.0,32.4,31.0,0.96,147.0,116.0,78.9,19.0,7.0,7.0,13.0,39.4,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,Barcelona,Rüştü Reçber,tr TUR,GK,30.0,4.0,3.0,326.0,3.6,6.0,1.66,20.0,14.0,70.0,1.0,1.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,Barcelona,Albert Jorquera,es ESP,GK,24.0,2.0,2.0,180.0,2.0,2.0,1.0,12.0,10.0,83.3,1.0,1.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,Barcelona,Squad Total,,,25.9,38.0,38.0,3420.0,,39.0,1.03,179.0,140.0,78.2,21.0,9.0,8.0,13.0,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,Barcelona,Opponent Total,,,26.7,38.0,38.0,,,,,,,,8.0,9.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,La Coruña,José Molina,es ESP,GK,32.0,33.0,33.0,2970.0,33.0,30.0,0.91,124.0,94.0,75.8,19.0,7.0,7.0,15.0,45.5,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,La Coruña,Gustavo Munúa,uy URU,GK,25.0,5.0,5.0,443.0,4.9,4.0,0.81,20.0,16.0,80.0,2.0,1.0,2.0,2.0,40.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,La Coruña,Jacques Songo'o,cm CMR,GK,39.0,1.0,0.0,7.0,0.1,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,La Coruña,Squad Total,,,28.4,38.0,38.0,3420.0,,34.0,0.89,145.0,111.0,76.6,21.0,8.0,9.0,17.0,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,La Coruña,Opponent Total,,,26.5,38.0,38.0,,,,,,,,9.0,8.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,Real Madrid,Iker Casillas,es ESP,GK,22.0,37.0,37.0,3330.0,37.0,50.0,1.35,167.0,117.0,70.1,20.0,10.0,7.0,5.0,13.5,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,Real Madrid,César Sánchez,es ESP,GK,31.0,1.0,1.0,90.0,1.0,4.0,4.0,9.0,5.0,55.6,0.0,0.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,LaLiga,Real Madrid,Squad Total,,,26.6,38.0,38.0,3420.0,,54.0,1.42,176.0,122.0,69.3,21.0,7.0,10.0,5.0,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
