Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2017-2018,SeriaA,Juventus,Gianluigi Buffon,it ITA,GK,39.0,20.7,14.0,3.0,0.0,2.0,2.0,17.5,0.25,5.5,0.26,84.0,191.0,44.0,474.0,97.0,28.1,31.9,150.0,38.7,36.8,242.0,3.0,1.2,19.0,0.92,14.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Wojciech Szczęsny,pl POL,GK,27.0,17.0,9.0,0.0,1.0,2.0,0.0,11.5,0.36,2.5,0.15,84.0,165.0,50.9,361.0,84.0,29.4,32.8,96.0,61.5,43.7,196.0,11.0,5.6,13.0,0.76,14.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Carlo Pinsoglio,it ITA,GK,27.0,0.3,1.0,0.0,0.0,0.0,0.0,0.7,0.36,-0.3,-0.87,0.0,0.0,,5.0,3.0,0.0,27.0,0.0,,,7.0,1.0,14.3,0.0,0.0,7.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Squad Total,,,29.2,38.0,24.0,3.0,1.0,4.0,2.0,29.7,0.29,7.7,0.2,168.0,356.0,47.2,840.0,184.0,28.5,32.2,246.0,47.6,39.5,445.0,15.0,3.4,32.0,0.84,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Opponent Total,,,27.0,38.0,86.0,4.0,6.0,10.0,4.0,66.8,0.29,-15.2,-0.4,202.0,546.0,37.0,862.0,147.0,42.8,36.4,269.0,65.8,47.0,512.0,18.0,3.5,23.0,0.61,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Napoli,Pepe Reina,es ESP,GK,34.0,37.0,29.0,2.0,2.0,3.0,0.0,26.3,0.25,-2.7,-0.07,147.0,333.0,44.1,950.0,177.0,26.0,30.0,235.0,36.6,36.5,353.0,8.0,2.3,57.0,1.54,18.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Napoli,Luigi Sepe,it ITA,GK,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.65,0.6,0.65,2.0,4.0,50.0,14.0,2.0,14.3,25.4,5.0,40.0,37.0,7.0,2.0,28.6,0.0,0.0,13.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Napoli,Squad Total,,,28.0,38.0,29.0,2.0,2.0,3.0,0.0,27.0,0.26,-2.0,-0.05,149.0,337.0,44.2,964.0,179.0,25.8,29.9,240.0,36.7,36.5,360.0,10.0,2.8,57.0,1.5,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Napoli,Opponent Total,,,26.9,38.0,77.0,6.0,2.0,12.0,4.0,76.6,0.28,3.6,0.09,402.0,832.0,48.3,1208.0,208.0,46.3,36.8,397.0,68.8,46.8,500.0,22.0,4.4,24.0,0.63,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Roma,Alisson,br BRA,GK,24.0,37.0,28.0,3.0,0.0,2.0,0.0,35.4,0.23,7.4,0.2,213.0,416.0,51.2,1069.0,239.0,28.9,32.1,252.0,42.5,41.0,469.0,17.0,3.6,90.0,2.43,18.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Roma,Łukasz Skorupski,pl POL,GK,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.21,0.6,0.64,7.0,13.0,53.8,30.0,11.0,30.0,31.4,7.0,57.1,37.9,15.0,0.0,0.0,2.0,2.0,20.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
