Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2017-2018,SeriaA,Juventus,Gonzalo Higuaín,ar ARG,FW,29.0,31.3,16.0,100.0,38.0,38.0,3.2,1.21,0.15,0.39,17.1,1.0,2.0,,2.0,11.8,10.2,0.1,4.2,4.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Miralem Pjanić,ba BIH,MF,27.0,27.6,5.0,52.0,16.0,30.8,1.88,0.58,0.1,0.31,25.0,0.0,0.0,,17.0,2.4,2.4,0.05,2.6,2.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Blaise Matuidi,fr FRA,MF,30.0,26.2,3.0,24.0,7.0,29.2,0.92,0.27,0.13,0.43,16.3,0.0,0.0,,0.0,2.4,2.4,0.1,0.6,0.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Mario Mandžukić,hr CRO,FW,31.0,25.8,5.0,50.0,20.0,40.0,1.94,0.77,0.1,0.25,12.9,0.0,0.0,,0.0,5.8,5.8,0.12,-0.8,-0.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Paulo Dybala,ar ARG,"MF,FW",23.0,26.1,22.0,109.0,40.0,36.7,4.17,1.53,0.17,0.48,21.8,3.0,5.0,,18.0,12.2,8.3,0.08,9.8,10.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Giorgio Chiellini,it ITA,DF,32.0,24.0,0.0,10.0,2.0,20.0,0.42,0.08,0.0,0.0,14.0,0.0,0.0,,0.0,0.6,0.6,0.06,-0.6,-0.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Sami Khedira,de GER,MF,30.0,21.2,9.0,31.0,17.0,54.8,1.46,0.8,0.29,0.53,16.8,0.0,0.0,,0.0,3.7,3.7,0.12,5.3,5.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Alex Sandro,br BRA,DF,26.0,23.5,4.0,18.0,7.0,38.9,0.77,0.3,0.22,0.57,15.9,0.0,0.0,,0.0,1.6,1.6,0.09,2.4,2.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Daniele Rugani,it ITA,DF,23.0,21.5,2.0,9.0,3.0,33.3,0.42,0.14,0.22,0.67,11.7,0.0,0.0,,0.0,1.0,1.0,0.11,1.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Gianluigi Buffon,it ITA,GK,39.0,20.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
