season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2010-2011,SeriaA,Milan,Christian Abbiati,it ITA,GK,33.0,0.0,35.0,3078.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,35.0
2010-2011,SeriaA,Milan,Thiago Silva,br BRA,DF,25.0,0.0,33.0,2896.0,32.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,33.0
2010-2011,SeriaA,Milan,Zlatan Ibrahimović,se SWE,FW,28.0,0.0,29.0,2530.0,28.1,14.0,11.0,25.0,11.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,0.5,0.39,0.89,0.39,0.78,Matches,29.0
2010-2011,SeriaA,Milan,Gennaro Gattuso,it ITA,MF,32.0,0.0,28.0,2196.0,24.4,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,31.0
2010-2011,SeriaA,Milan,Ignazio Abate,it ITA,"DF,MF",23.0,0.0,26.0,2412.0,26.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,29.0
2010-2011,SeriaA,Milan,Robinho,br BRA,"FW,MF",26.0,0.0,26.0,2328.0,25.9,14.0,2.0,16.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.54,0.08,0.62,0.54,0.62,Matches,34.0
2010-2011,SeriaA,Milan,Alessandro Nesta,it ITA,DF,34.0,0.0,26.0,2228.0,24.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,26.0
2010-2011,SeriaA,Milan,Clarence Seedorf,nl NED,MF,34.0,0.0,23.0,2133.0,23.7,4.0,6.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.17,0.25,0.42,0.17,0.42,Matches,30.0
2010-2011,SeriaA,Milan,Alexandre Pato,br BRA,"FW,MF",20.0,0.0,19.0,1590.0,17.7,14.0,5.0,19.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.79,0.28,1.08,0.79,1.08,Matches,25.0
2010-2011,SeriaA,Milan,Kevin-Prince Boateng,gh GHA,"FW,MF",23.0,0.0,18.0,1639.0,18.2,3.0,1.0,4.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.16,0.05,0.22,0.16,0.22,Matches,26.0
