season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2013-2014,Ligue1,Paris S-G,Salvatore Sirigu,it ITA,GK,26.0,0.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,37.0
2013-2014,Ligue1,Paris S-G,Zlatan Ibrahimović,se SWE,FW,31.0,0.0,32.0,2766.0,30.7,26.0,11.0,37.0,19.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.85,0.36,1.2,0.62,0.98,Matches,33.0
2013-2014,Ligue1,Paris S-G,Thiago Motta,it ITA,MF,30.0,0.0,31.0,2536.0,28.2,3.0,2.0,5.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.11,0.07,0.18,0.11,0.18,Matches,32.0
2013-2014,Ligue1,Paris S-G,Alex,br BRA,DF,31.0,0.0,30.0,2605.0,28.9,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,31.0
2013-2014,Ligue1,Paris S-G,Thiago Silva,br BRA,DF,28.0,0.0,28.0,2382.0,26.5,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,28.0
2013-2014,Ligue1,Paris S-G,Blaise Matuidi,fr FRA,MF,26.0,0.0,27.0,2561.0,28.5,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.18,0.07,0.25,0.18,0.25,Matches,36.0
2013-2014,Ligue1,Paris S-G,Edinson Cavani,uy URU,"FW,MF",26.0,0.0,25.0,2299.0,25.5,16.0,2.0,18.0,14.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.63,0.08,0.7,0.55,0.63,Matches,30.0
2013-2014,Ligue1,Paris S-G,Gregory van der Wiel,nl NED,DF,25.0,0.0,24.0,2158.0,24.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches,25.0
2013-2014,Ligue1,Paris S-G,Ezequiel Lavezzi,ar ARG,"FW,MF",28.0,0.0,24.0,1874.0,20.8,9.0,0.0,9.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,Matches,32.0
2013-2014,Ligue1,Paris S-G,Maxwell,br BRA,DF,31.0,0.0,23.0,2090.0,23.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.13,0.09,0.22,0.13,0.22,Matches,24.0
2013-2014,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,20.0,0.0,23.0,1983.0,22.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.18,Matches,29.0
2013-2014,Ligue1,Paris S-G,Lucas Moura,br BRA,"FW,MF",20.0,0.0,18.0,1937.0,21.5,5.0,11.0,16.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.23,0.51,0.74,0.23,0.74,Matches,36.0
2013-2014,Ligue1,Paris S-G,Javier Pastore,ar ARG,MF,24.0,0.0,18.0,1577.0,17.5,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.06,0.17,0.23,0.06,0.23,Matches,29.0
2013-2014,Ligue1,Paris S-G,Marquinhos,br BRA,"DF,MF",19.0,0.0,17.0,1654.0,18.4,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,21.0
2013-2014,Ligue1,Paris S-G,Lucas Digne,fr FRA,"DF,MF",20.0,0.0,15.0,1335.0,14.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,15.0
2013-2014,Ligue1,Paris S-G,Christophe Jallet,fr FRA,DF,29.0,0.0,13.0,1083.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,13.0
2013-2014,Ligue1,Paris S-G,Adrien Rabiot,fr FRA,MF,18.0,0.0,12.0,1179.0,13.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,25.0
2013-2014,Ligue1,Paris S-G,Yohan Cabaye,fr FRA,MF,27.0,0.0,9.0,822.0,9.1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches,15.0
