season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2010-2011,LaLiga,Espanyol,Carlos Kameni,cm CMR,GK,26.0,0.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,33.0
2010-2011,LaLiga,Espanyol,Javier Chica,es ESP,DF,25.0,0.0,28.0,2493.0,27.7,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,29.0
2010-2011,LaLiga,Espanyol,Javi Márquez,es ESP,MF,24.0,0.0,26.0,2216.0,24.6,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,29.0
2010-2011,LaLiga,Espanyol,Jordi Amat,id IDN,DF,18.0,0.0,23.0,2152.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,26.0
2010-2011,LaLiga,Espanyol,Dani Osvaldo,it ITA,FW,24.0,0.0,22.0,1741.0,19.3,13.0,4.0,17.0,11.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.67,0.21,0.88,0.57,0.78,Matches,24.0
2010-2011,LaLiga,Espanyol,Ernesto Galán,es ESP,DF,24.0,0.0,21.0,1833.0,20.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,22.0
2010-2011,LaLiga,Espanyol,Juan Forlín,ar ARG,"DF,MF",22.0,0.0,21.0,1763.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,21.0
2010-2011,LaLiga,Espanyol,Javi López,es ESP,"DF,MF",24.0,0.0,18.0,1656.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,25.0
2010-2011,LaLiga,Espanyol,David García,es ESP,DF,29.0,0.0,16.0,1298.0,14.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,17.0
2010-2011,LaLiga,Espanyol,Víctor Ruiz,es ESP,"DF,MF",21.0,0.0,15.0,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,15.0
2010-2011,LaLiga,Espanyol,Aldo Duscher,ar ARG,MF,31.0,0.0,14.0,1272.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,18.0
2010-2011,LaLiga,Espanyol,Sergio García,es ESP,"FW,MF",27.0,0.0,13.0,1171.0,13.0,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.23,0.08,0.31,0.23,0.31,Matches,21.0
2010-2011,LaLiga,Espanyol,Raúl Baena,es ESP,MF,21.0,0.0,13.0,1105.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,15.0
2010-2011,LaLiga,Espanyol,Dídac Vilà,es ESP,DF,21.0,0.0,12.0,1114.0,12.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,13.0
2010-2011,LaLiga,Espanyol,Iván Alonso,uy URU,FW,31.0,0.0,10.0,829.0,9.2,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches,20.0
2010-2011,LaLiga,Espanyol,Álvaro Vázquez,es ESP,FW,19.0,0.0,8.0,1221.0,13.6,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.07,0.37,0.29,0.37,Matches,30.0
2010-2011,LaLiga,Espanyol,Raúl Rodríguez,es ESP,DF,22.0,0.0,8.0,754.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,10.0
2010-2011,LaLiga,Espanyol,Cristian Álvarez,ar ARG,GK,24.0,0.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,5.0
2010-2011,LaLiga,Espanyol,Jesús Dátolo,ar ARG,MF,26.0,0.0,3.0,565.0,6.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32,Matches,15.0
2010-2011,LaLiga,Espanyol,Manu Molina,es ESP,MF,18.0,0.0,1.0,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7.0
2010-2011,LaLiga,Espanyol,Rui Fonte,pt POR,"FW,MF",20.0,0.0,0.0,133.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,0.0,0.68,Matches,11.0
2010-2011,LaLiga,Espanyol,Isaías Sánchez,es ESP,MF,23.0,0.0,0.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0
2010-2011,LaLiga,Espanyol,David López,es ESP,"DF,MF",20.0,0.0,0.0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,3.0
2010-2011,LaLiga,Espanyol,Iván de la Peña,es ESP,MF,34.0,0.0,0.0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0
2010-2011,LaLiga,Espanyol,Thievy Bifouma,cg CGO,"FW,MF",18.0,0.0,0.0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2.0
2010-2011,LaLiga,Espanyol,Eric López,es ESP,MF,17.0,0.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2.0
2010-2011,LaLiga,Espanyol,Víctor Álvarez,es ESP,"DF,MF",17.0,0.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0
2010-2011,LaLiga,Espanyol,Ferran Corominas,es ESP,"FW,MF",27.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0
2010-2011,LaLiga,Espanyol,Squad Total,0,0,24.9,0.0,418.0,0.0,0.0,44.0,28.0,72.0,38.0,6.0,6.0,109.0,5.0,0.0,0.0,0.0,1.16,0.74,1.89,1.0,1.74,0,38.0
2010-2011,LaLiga,Espanyol,Opponent Total,0,0,26.8,0.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.0
2010-2011,LaLiga,Osasuna,Ricardo,es ESP,GK,38.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2010-2011,LaLiga,Osasuna,Francisco Puñal,es ESP,MF,34.0,33.0,32.0,2825.0,31.4,0.0,3.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,0.0
2010-2011,LaLiga,Osasuna,Nacho Monreal,es ESP,DF,24.0,31.0,31.0,2754.0,30.6,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches,0.0
2010-2011,LaLiga,Osasuna,Javier Camuñas,es ESP,"FW,MF",30.0,31.0,30.0,2542.0,28.2,4.0,4.0,8.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28,Matches,0.0
2010-2011,LaLiga,Osasuna,Miguel Flaño,es ESP,DF,25.0,30.0,28.0,2571.0,28.6,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,0.0
2010-2011,LaLiga,Osasuna,Javad Nekounam,ir IRN,MF,29.0,26.0,26.0,2220.0,24.7,6.0,1.0,7.0,1.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.24,0.04,0.28,0.04,0.08,Matches,0.0
2010-2011,LaLiga,Osasuna,Nélson Marcos,pt POR,DF,27.0,29.0,25.0,2262.0,25.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,0.0
2010-2011,LaLiga,Osasuna,Lolo,es ESP,"DF,MF",25.0,27.0,23.0,2037.0,22.6,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,0.0
2010-2011,LaLiga,Osasuna,Fernando Soriano,es ESP,MF,30.0,30.0,23.0,1858.0,20.6,2.0,4.0,6.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.1,0.19,0.29,0.1,0.29,Matches,0.0
2010-2011,LaLiga,Osasuna,Damià Abella,es ESP,"DF,MF",28.0,27.0,22.0,1934.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2010-2011,LaLiga,Osasuna,Sergio,es ESP,DF,33.0,22.0,22.0,1934.0,21.5,2.0,2.0,4.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.09,0.09,0.19,0.09,0.19,Matches,0.0
2010-2011,LaLiga,Osasuna,Juanfran,es ESP,"DF,MF",25.0,18.0,18.0,1544.0,17.2,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.06,0.12,0.17,0.06,0.17,Matches,0.0
2010-2011,LaLiga,Osasuna,Carlos Aranda,es ESP,FW,30.0,20.0,15.0,1193.0,13.3,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.3,0.15,0.45,0.3,0.45,Matches,0.0
2010-2011,LaLiga,Osasuna,Masoud Shojaei,ir IRN,MF,26.0,18.0,14.0,1198.0,13.3,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15,0.3,0.45,0.15,0.45,Matches,0.0
2010-2011,LaLiga,Osasuna,Walter Pandiani,uy URU,FW,34.0,21.0,13.0,1285.0,14.3,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,0.0
2010-2011,LaLiga,Osasuna,Álvaro Cejudo,es ESP,MF,26.0,13.0,13.0,1011.0,11.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches,0.0
2010-2011,LaLiga,Osasuna,Krisztián Vadócz,hu HUN,MF,25.0,31.0,12.0,1353.0,15.0,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,0.07,0.27,0.2,0.27,Matches,0.0
2010-2011,LaLiga,Osasuna,Enrique Sola,es ESP,FW,24.0,16.0,12.0,1063.0,11.8,7.0,0.0,7.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,0.59,0.59,Matches,0.0
2010-2011,LaLiga,Osasuna,Josetxo,es ESP,DF,33.0,9.0,6.0,583.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2010-2011,LaLiga,Osasuna,Dejan Lekić,rs SRB,FW,25.0,27.0,5.0,774.0,8.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches,0.0
2010-2011,LaLiga,Osasuna,Javier Calleja,es ESP,MF,32.0,18.0,4.0,425.0,4.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.21,0.42,0.64,0.21,0.64,Matches,0.0
2010-2011,LaLiga,Osasuna,Ferran Corominas,es ESP,"FW,MF",27.0,6.0,4.0,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2010-2011,LaLiga,Osasuna,Oier Sanjurjo,es ESP,"DF,MF",24.0,3.0,2.0,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2010-2011,LaLiga,Osasuna,Rúper,es ESP,MF,23.0,4.0,0.0,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2010-2011,LaLiga,Osasuna,David Timor,es ESP,"DF,MF",20.0,1.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2010-2011,LaLiga,Osasuna,Xavi Annunziata,es ESP,"FW,MF",22.0,1.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2010-2011,LaLiga,Osasuna,Squad Total,0,0,29.5,38.0,418.0,0.0,0.0,44.0,27.0,71.0,39.0,5.0,5.0,106.0,7.0,0.0,0.0,0.0,1.16,0.71,1.87,1.03,1.74,0,0.0
