season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2021-2022,LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,29.0,36.0,36.0,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,LaLiga,Real Madrid,Éder Militão,br BRA,DF,23.0,34.0,34.0,3031.0,33.7,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,22.0,102.0,15.0,0.03,0.06,0.09,0.03,0.09,0.0,0.0
2021-2022,LaLiga,Real Madrid,Karim Benzema,fr FRA,FW,33.0,32.0,31.0,2593.0,28.8,27.0,12.0,39.0,20.0,7.0,11.0,0.0,0.0,88.0,177.0,252.0,0.94,0.42,1.35,0.69,1.11,0.0,0.0
2021-2022,LaLiga,Real Madrid,Casemiro,br BRA,MF,29.0,32.0,31.0,2569.0,28.5,1.0,3.0,4.0,1.0,0.0,0.0,11.0,0.0,23.0,162.0,30.0,0.04,0.11,0.14,0.04,0.14,0.0,0.0
2021-2022,LaLiga,Real Madrid,Vinicius Júnior,br BRA,FW,21.0,35.0,30.0,2690.0,29.9,17.0,10.0,27.0,17.0,0.0,0.0,6.0,0.0,225.0,123.0,485.0,0.57,0.33,0.9,0.57,0.9,0.0,0.0
2021-2022,LaLiga,Real Madrid,David Alaba,at AUT,DF,29.0,30.0,30.0,2642.0,29.4,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,40.0,154.0,76.0,0.07,0.1,0.17,0.07,0.17,0.0,0.0
2021-2022,LaLiga,Real Madrid,Toni Kroos,de GER,MF,31.0,28.0,25.0,2103.0,23.4,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,40.0,277.0,38.0,0.04,0.13,0.17,0.04,0.17,0.0,0.0
2021-2022,LaLiga,Real Madrid,Luka Modrić,hr CRO,MF,35.0,28.0,25.0,2032.0,22.6,2.0,8.0,10.0,1.0,1.0,1.0,4.0,0.0,67.0,221.0,87.0,0.09,0.35,0.44,0.04,0.4,0.0,0.0
2021-2022,LaLiga,Real Madrid,Lucas Vázquez,es ESP,DF,30.0,29.0,20.0,1833.0,20.4,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,58.0,108.0,156.0,0.15,0.0,0.15,0.15,0.15,0.0,0.0
2021-2022,LaLiga,Real Madrid,Ferland Mendy,fr FRA,DF,26.0,22.0,20.0,1734.0,19.3,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,71.0,99.0,116.0,0.1,0.05,0.16,0.1,0.16,0.0,0.0
2021-2022,LaLiga,Real Madrid,Federico Valverde,uy URU,MF,23.0,31.0,19.0,1833.0,20.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,76.0,129.0,86.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0
