Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2018-2019,Ligue1,Paris S-G,Alphonse Areola,fr FRA,GK,25.0,21.0,17.0,4.0,0.0,1.0,1.0,18.3,0.22,2.3,0.11,40.0,94.0,42.6,377.0,100.0,15.9,25.3,139.0,24.5,32.0,255.0,7.0,2.7,13.0,0.62,13.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Gianluigi Buffon,it ITA,GK,40.0,17.0,18.0,1.0,1.0,2.0,3.0,17.9,0.25,2.9,0.17,21.0,53.0,39.6,301.0,79.0,9.0,21.1,108.0,24.1,31.2,174.0,2.0,1.1,16.0,0.94,16.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Squad Total,,,26.2,38.0,35.0,5.0,1.0,3.0,4.0,36.2,0.23,5.2,0.14,61.0,147.0,41.5,678.0,179.0,12.8,23.4,247.0,24.3,31.7,429.0,9.0,2.1,29.0,0.76,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Opponent Total,,,25.9,38.0,105.0,10.0,3.0,9.0,2.0,96.6,0.39,-6.4,-0.17,276.0,698.0,39.5,778.0,154.0,51.4,39.6,394.0,75.6,51.3,470.0,6.0,1.3,22.0,0.58,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lille,Mike Maignan,fr FRA,GK,23.0,38.0,33.0,6.0,1.0,4.0,0.0,39.0,0.25,6.0,0.16,177.0,557.0,31.8,840.0,189.0,42.0,36.2,273.0,74.7,53.5,497.0,29.0,5.8,44.0,1.16,16.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lille,Squad Total,,,24.1,38.0,33.0,6.0,1.0,4.0,0.0,39.0,0.25,6.0,0.16,177.0,557.0,31.8,840.0,189.0,42.0,36.2,273.0,74.7,53.5,497.0,29.0,5.8,44.0,1.16,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lille,Opponent Total,,,26.0,38.0,68.0,11.0,0.0,4.0,2.0,64.5,0.28,-1.5,-0.04,214.0,531.0,40.3,779.0,177.0,38.9,34.8,295.0,77.3,52.1,473.0,18.0,3.8,41.0,1.08,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lyon,Anthony Lopes,pt POR,GK,27.0,34.0,42.0,5.0,1.0,3.0,3.0,35.9,0.24,-3.1,-0.09,127.0,306.0,41.5,820.0,169.0,27.1,30.4,250.0,33.6,37.7,395.0,13.0,3.3,30.0,0.88,15.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lyon,Mathieu Gorgelin,fr FRA,GK,27.0,4.0,5.0,0.0,1.0,1.0,0.0,3.7,0.25,-1.3,-0.33,11.0,21.0,52.4,83.0,24.0,10.8,24.2,29.0,41.4,39.1,46.0,0.0,0.0,9.0,2.25,16.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lyon,Squad Total,,,24.4,38.0,47.0,5.0,2.0,4.0,3.0,39.6,0.24,-4.4,-0.12,138.0,327.0,42.2,903.0,193.0,25.6,29.8,279.0,34.4,37.8,441.0,13.0,2.9,39.0,1.03,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
