Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2018-2019,Ligue1,Paris S-G,Marquinhos,br BRA,"DF,MF",24.0,30.0,2693.0,90.0,78.7,29.9,30.0,90.0,28.0,0.0,,1.0,2.57,86.0,22.0,64.0,2.14,1.4,69.3,27.0,42.3,1.41,0.31,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Ángel Di María,ar ARG,"FW,MF",30.0,30.0,2324.0,77.0,68.0,25.8,28.0,82.0,12.0,2.0,20.0,1.0,2.57,70.0,20.0,50.0,1.94,0.29,55.1,25.1,30.0,1.16,-0.59,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Kylian Mbappé,fr FRA,FW,19.0,29.0,2343.0,81.0,68.5,26.0,24.0,90.0,22.0,5.0,39.0,0.0,2.48,81.0,21.0,60.0,2.3,1.47,67.2,23.5,43.7,1.68,1.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Thiago Silva,br BRA,DF,33.0,25.0,2077.0,83.0,60.7,23.1,24.0,86.0,21.0,1.0,18.0,2.0,2.6,69.0,15.0,54.0,2.34,1.27,56.9,19.5,37.4,1.62,0.69,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Presnel Kimpembe,fr FRA,DF,22.0,24.0,2005.0,84.0,58.6,22.3,23.0,87.0,21.0,1.0,6.0,4.0,2.25,55.0,25.0,30.0,1.35,-1.2,46.5,25.4,21.0,0.94,-0.98,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,25.0,26.0,1879.0,72.0,54.9,20.9,23.0,79.0,12.0,3.0,24.0,2.0,2.46,52.0,18.0,34.0,1.63,-0.47,48.2,16.9,31.3,1.5,0.34,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Julian Draxler,de GER,"MF,FW",24.0,31.0,2046.0,66.0,59.8,22.7,22.0,84.0,15.0,9.0,23.0,1.0,2.26,65.0,26.0,39.0,1.72,-0.32,52.3,24.4,27.9,1.23,-0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Alphonse Areola,fr FRA,GK,25.0,21.0,1890.0,90.0,55.3,21.0,21.0,90.0,21.0,0.0,,13.0,2.43,55.0,17.0,38.0,1.81,-0.07,48.2,20.4,27.8,1.33,-0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Juan Bernat,es ESP,"DF,MF",25.0,25.0,1836.0,73.0,53.7,20.4,21.0,84.0,15.0,4.0,19.0,0.0,2.28,55.0,15.0,40.0,1.96,0.26,46.7,20.6,26.1,1.28,-0.15,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Edinson Cavani,uy URU,FW,31.0,21.0,1671.0,80.0,48.9,18.6,20.0,83.0,14.0,1.0,18.0,2.0,2.52,57.0,15.0,42.0,2.26,0.82,45.0,20.1,24.9,1.34,-0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Thilo Kehrer,de GER,DF,21.0,27.0,1902.0,70.0,55.6,21.1,19.0,87.0,17.0,8.0,31.0,4.0,2.33,64.0,23.0,41.0,1.94,0.22,52.2,23.7,28.5,1.35,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Dani Alves,br BRA,"MF,DF",35.0,23.0,1622.0,71.0,47.4,18.0,19.0,82.0,12.0,4.0,18.0,0.0,2.0,45.0,22.0,23.0,1.28,-1.08,42.4,19.9,22.5,1.25,-0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Thomas Meunier,be BEL,DF,26.0,22.0,1610.0,73.0,47.1,17.9,19.0,80.0,11.0,3.0,31.0,3.0,2.64,50.0,12.0,38.0,2.12,0.53,41.9,14.3,27.6,1.54,0.36,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Gianluigi Buffon,it ITA,GK,40.0,17.0,1530.0,90.0,44.7,17.0,17.0,90.0,17.0,0.0,,20.0,2.35,50.0,18.0,32.0,1.88,0.07,40.7,17.2,23.4,1.38,0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Neymar,br BRA,"MF,FW",26.0,17.0,1439.0,85.0,42.1,16.0,16.0,87.0,11.0,1.0,45.0,0.0,2.59,50.0,14.0,36.0,2.25,0.71,37.3,17.6,19.7,1.23,-0.21,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Leandro Paredes,ar ARG,MF,24.0,16.0,1249.0,78.0,36.5,13.9,14.0,86.0,11.0,2.0,22.0,0.0,1.81,28.0,19.0,9.0,0.65,-1.88,29.5,15.0,14.5,1.05,-0.48,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
