Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2018-2019,Ligue1,Paris S-G,Marquinhos,br BRA,"DF,MF",24.0,29.9,2534.0,189.0,848.0,1553.0,141.0,29.0,2534.0,7.0,6.0,85.7,1.0,14.3,1511.0,7625.0,4571.0,19.0,22.0,1.0,7.0,8.0,1893.0,13.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Ángel Di María,ar ARG,"FW,MF",30.0,25.8,1748.0,16.0,119.0,711.0,937.0,136.0,1747.0,84.0,41.0,48.8,42.0,50.0,1086.0,6038.0,3283.0,98.0,74.0,35.0,48.0,44.0,1342.0,277.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Kylian Mbappé,fr FRA,FW,19.0,26.0,1123.0,0.0,22.0,392.0,725.0,212.0,1121.0,118.0,65.0,55.1,53.0,44.9,760.0,5250.0,2851.0,114.0,66.0,58.0,60.0,44.0,995.0,311.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Thiago Silva,br BRA,DF,33.0,23.1,2081.0,201.0,740.0,1274.0,77.0,19.0,2081.0,2.0,2.0,100.0,0.0,0.0,1323.0,6894.0,4549.0,19.0,21.0,0.0,5.0,3.0,1584.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Presnel Kimpembe,fr FRA,DF,22.0,22.3,1676.0,98.0,542.0,1058.0,88.0,7.0,1676.0,13.0,5.0,38.5,8.0,61.5,1071.0,5924.0,3373.0,23.0,24.0,1.0,8.0,12.0,1233.0,6.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,25.0,20.9,2258.0,33.0,300.0,1524.0,458.0,13.0,2258.0,41.0,34.0,82.9,7.0,17.1,1512.0,7479.0,4225.0,52.0,43.0,1.0,20.0,37.0,1887.0,38.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Julian Draxler,de GER,"MF,FW",24.0,22.7,1785.0,9.0,163.0,1029.0,611.0,67.0,1785.0,58.0,43.0,74.1,15.0,25.9,1142.0,7091.0,3733.0,93.0,87.0,18.0,35.0,42.0,1450.0,169.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Alphonse Areola,fr FRA,GK,25.0,21.0,552.0,482.0,550.0,2.0,0.0,0.0,552.0,0.0,0.0,,0.0,,291.0,1571.0,1116.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Juan Bernat,es ESP,"DF,MF",25.0,20.4,1384.0,47.0,276.0,692.0,421.0,46.0,1384.0,32.0,18.0,56.3,14.0,43.8,813.0,3767.0,2003.0,50.0,28.0,13.0,29.0,22.0,996.0,152.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Edinson Cavani,uy URU,FW,31.0,18.6,523.0,20.0,72.0,156.0,301.0,114.0,518.0,21.0,12.0,57.1,9.0,42.9,280.0,1250.0,419.0,16.0,10.0,11.0,37.0,12.0,371.0,122.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
