Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_h,C_h.1,C_h.2,C_h.3,B_l,B_l.1,B_l.2,U_n.5,U_n.6,U_n.7,U_n.8,U_n.9
2019-2020,Ligue1,Paris S-G,Ángel Di María,ar ARG,"FW,MF",31.0,22.2,17.0,12.0,2.0,8.0,7.0,4.0,34.0,11.8,30.0,14.0,3.0,11.0,11.0,28.0,1.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Keylor Navas,cr CRC,GK,32.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Thiago Silva,br BRA,DF,34.0,17.5,28.0,16.0,15.0,13.0,0.0,13.0,16.0,81.3,3.0,18.0,15.0,3.0,26.0,54.0,54.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Idrissa Gana Gueye,sn SEN,MF,29.0,18.4,65.0,34.0,30.0,25.0,10.0,18.0,43.0,41.9,25.0,29.0,4.0,25.0,33.0,98.0,15.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Kylian Mbappé,fr FRA,FW,20.0,16.8,7.0,2.0,1.0,5.0,1.0,3.0,10.0,30.0,7.0,4.0,0.0,4.0,3.0,10.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Juan Bernat,es ESP,"DF,MF",26.0,15.4,42.0,27.0,19.0,16.0,7.0,20.0,51.0,39.2,31.0,13.0,1.0,12.0,10.0,52.0,26.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,26.0,16.5,54.0,32.0,22.0,22.0,10.0,20.0,56.0,35.7,36.0,23.0,3.0,20.0,19.0,73.0,9.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Marquinhos,br BRA,"MF,DF",25.0,16.4,39.0,20.0,17.0,18.0,4.0,11.0,26.0,42.3,15.0,25.0,8.0,17.0,25.0,64.0,31.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Neymar,br BRA,"MF,FW",27.0,14.6,12.0,7.0,1.0,9.0,2.0,3.0,21.0,14.3,18.0,10.0,0.0,10.0,4.0,16.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Mauro Icardi,ar ARG,FW,26.0,14.1,4.0,2.0,1.0,3.0,0.0,1.0,10.0,10.0,9.0,7.0,1.0,6.0,2.0,6.0,11.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Thomas Meunier,be BEL,DF,27.0,13.8,27.0,21.0,9.0,12.0,6.0,16.0,26.0,61.5,10.0,17.0,5.0,12.0,18.0,45.0,19.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Presnel Kimpembe,fr FRA,DF,23.0,13.6,33.0,25.0,25.0,8.0,0.0,14.0,20.0,70.0,6.0,7.0,3.0,4.0,21.0,54.0,33.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Abdou Diallo,sn SEN,DF,23.0,13.3,20.0,11.0,9.0,10.0,1.0,8.0,14.0,57.1,6.0,9.0,5.0,4.0,10.0,30.0,32.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Pablo Sarabia,es ESP,"FW,MF",27.0,12.9,12.0,7.0,3.0,6.0,3.0,4.0,25.0,16.0,21.0,19.0,1.0,18.0,10.0,22.0,5.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Layvin Kurzawa,fr FRA,DF,26.0,9.5,23.0,16.0,5.0,14.0,4.0,11.0,23.0,47.8,12.0,12.0,1.0,11.0,18.0,41.0,24.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Leandro Paredes,ar ARG,MF,25.0,9.0,22.0,14.0,7.0,14.0,1.0,13.0,29.0,44.8,16.0,7.0,1.0,6.0,15.0,37.0,7.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Julian Draxler,de GER,MF,25.0,7.6,13.0,10.0,2.0,9.0,2.0,7.0,15.0,46.7,8.0,7.0,1.0,6.0,10.0,23.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Colin Dagba,fr FRA,DF,20.0,7.4,10.0,4.0,2.0,4.0,4.0,5.0,9.0,55.6,4.0,6.0,1.0,5.0,6.0,16.0,9.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Edinson Cavani,uy URU,FW,32.0,6.7,5.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0,3.0,7.0,0.0,7.0,1.0,6.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Ander Herrera,es ESP,"MF,DF",29.0,6.1,19.0,11.0,9.0,9.0,1.0,5.0,14.0,35.7,9.0,10.0,2.0,8.0,6.0,25.0,4.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Thilo Kehrer,de GER,DF,22.0,5.3,10.0,7.0,4.0,5.0,1.0,5.0,10.0,50.0,5.0,2.0,0.0,2.0,1.0,11.0,2.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",30.0,5.0,12.0,9.0,3.0,4.0,5.0,4.0,8.0,50.0,4.0,3.0,0.0,3.0,1.0,13.0,3.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Tanguy Nianzou,fr FRA,"DF,MF",17.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,33.3,2.0,4.0,2.0,2.0,3.0,5.0,6.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Alphonse Areola,fr FRA,GK,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Sergio Rico,es ESP,GK,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Mitchel Bakker,nl NED,DF,19.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Marcin Bułka,pl POL,GK,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Adil Aouchiche,fr FRA,MF,17.0,0.7,3.0,2.0,1.0,2.0,0.0,2.0,4.0,50.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Loïc Mbe Soh,fr FRA,DF,18.0,0.6,2.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Arthur Zagre,fr FRA,MF,17.0,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Jesé,es ESP,FW,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
