Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2019-2020,Ligue1,Paris S-G,Ángel Di María,ar ARG,"FW,MF",31.0,26.0,2000.0,77.0,82.3,22.2,23.0,83.0,15.0,3.0,27.0,1.0,2.5,63.0,20.0,43.0,1.94,0.26,62.5,20.2,42.4,1.91,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Keylor Navas,cr CRC,GK,32.0,21.0,1890.0,90.0,77.8,21.0,21.0,90.0,21.0,0.0,,1.0,2.52,59.0,18.0,41.0,1.95,0.29,56.4,18.2,38.2,1.82,-0.33,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Thiago Silva,br BRA,DF,34.0,21.0,1571.0,75.0,64.7,17.5,20.0,76.0,13.0,1.0,50.0,0.0,2.67,45.0,11.0,34.0,1.95,0.17,45.3,13.2,32.0,1.84,-0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Idrissa Gana Gueye,sn SEN,MF,29.0,20.0,1653.0,83.0,68.0,18.4,19.0,83.0,16.0,1.0,73.0,1.0,2.65,47.0,15.0,32.0,1.74,-0.46,49.4,16.0,33.4,1.82,-0.24,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Kylian Mbappé,fr FRA,FW,20.0,20.0,1513.0,76.0,62.3,16.8,17.0,85.0,12.0,3.0,21.0,0.0,2.6,54.0,16.0,38.0,2.26,0.98,52.1,15.4,36.7,2.18,0.77,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Juan Bernat,es ESP,"DF,MF",26.0,18.0,1388.0,77.0,57.1,15.4,16.0,85.0,12.0,2.0,16.0,2.0,2.28,42.0,15.0,27.0,1.75,-0.32,45.1,13.2,31.9,2.07,0.41,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,26.0,20.0,1482.0,74.0,61.0,16.5,15.0,87.0,11.0,5.0,35.0,1.0,2.65,52.0,15.0,37.0,2.25,0.92,46.1,15.0,31.1,1.89,-0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Marquinhos,br BRA,"MF,DF",25.0,19.0,1476.0,78.0,60.7,16.4,15.0,90.0,15.0,4.0,31.0,0.0,2.32,46.0,14.0,32.0,1.95,0.16,50.6,13.3,37.3,2.27,0.97,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Neymar,br BRA,"MF,FW",27.0,15.0,1318.0,88.0,54.2,14.6,15.0,88.0,11.0,0.0,,0.0,2.67,40.0,11.0,29.0,1.98,0.2,38.9,11.2,27.8,1.9,0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Mauro Icardi,ar ARG,FW,26.0,20.0,1267.0,63.0,52.1,14.1,14.0,83.0,7.0,6.0,17.0,1.0,2.65,47.0,16.0,31.0,2.2,0.65,42.8,13.3,29.4,2.09,0.41,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Thomas Meunier,be BEL,DF,27.0,16.0,1242.0,78.0,51.1,13.8,14.0,85.0,11.0,2.0,23.0,5.0,2.5,37.0,12.0,25.0,1.81,-0.16,35.2,12.6,22.7,1.64,-0.51,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Presnel Kimpembe,fr FRA,DF,23.0,16.0,1225.0,77.0,50.4,13.6,14.0,85.0,13.0,2.0,18.0,5.0,2.63,42.0,12.0,30.0,2.2,0.64,39.5,12.8,26.7,1.96,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
