Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2018-2019,Bundesliga,Dortmund,Jeremy Toljan,de GER,"DF,MF",23.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,Matches,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Dortmund,Squad Total,,,24.8,,3060.0,90.0,100.0,34.0,374.0,85.0,,100.0,17.0,137.0,2.24,81.0,44.0,37.0,1.09,,61.5,39.9,21.5,0.63,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Dortmund,Opponent Total,,,25.7,,3060.0,90.0,100.0,34.0,374.0,85.0,,100.0,17.0,143.0,0.56,44.0,81.0,-37.0,-1.09,,39.9,61.5,-21.5,-0.63,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Péter Gulácsi,hu HUN,GK,28.0,33.0,2925.0,89.0,95.6,32.5,33.0,89.0,32.0,0.0,,0.0,2.0,60.0,27.0,33.0,1.02,0.35,63.1,39.0,24.1,0.74,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Timo Werner,de GER,FW,22.0,30.0,2509.0,84.0,82.0,27.9,29.0,85.0,13.0,1.0,45.0,0.0,1.97,53.0,22.0,31.0,1.11,0.62,53.3,32.4,20.9,0.75,0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Yussuf Poulsen,dk DEN,FW,24.0,31.0,2451.0,79.0,80.1,27.2,27.0,88.0,21.0,4.0,20.0,0.0,1.9,52.0,24.0,28.0,1.03,0.14,50.8,31.2,19.6,0.72,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Ibrahima Konaté,fr FRA,DF,19.0,28.0,2431.0,87.0,79.4,27.0,27.0,90.0,27.0,1.0,0.0,2.0,2.04,52.0,25.0,27.0,1.0,0.0,51.3,33.8,17.6,0.65,-0.44,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Marcel Halstenberg,de GER,"DF,FW",26.0,28.0,2414.0,86.0,78.9,26.8,27.0,89.0,26.0,1.0,4.0,2.0,2.0,51.0,18.0,33.0,1.23,1.09,49.9,30.2,19.7,0.73,-0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Marcel Sabitzer,at AUT,MF,24.0,30.0,2352.0,78.0,76.9,26.1,26.0,88.0,20.0,4.0,18.0,1.0,2.17,51.0,18.0,33.0,1.26,1.14,51.9,31.1,20.8,0.79,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Kevin Kampl,si SVN,MF,27.0,27.0,2113.0,78.0,69.1,23.5,25.0,82.0,14.0,2.0,26.0,0.0,2.04,47.0,22.0,25.0,1.06,0.21,47.1,30.2,16.9,0.72,-0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
