Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2019-2020,EPL,Burnley,Matěj Vydra,cz CZE,FW,27.0,9.1,231.0,9.0,18.0,83.0,131.0,38.0,231.0,18.0,6.0,33.3,12.0,66.7,126.0,664.0,304.0,13.0,8.0,8.0,19.0,7.0,166.0,52.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Burnley,Jóhann Berg Guðmundsson,is ISL,MF,28.0,6.9,254.0,9.0,41.0,84.0,136.0,23.0,254.0,6.0,5.0,83.3,1.0,16.7,155.0,990.0,404.0,18.0,11.0,4.0,9.0,5.0,162.0,31.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Burnley,Kevin Long,ie IRL,DF,28.0,6.3,257.0,30.0,148.0,108.0,3.0,3.0,257.0,1.0,1.0,100.0,0.0,0.0,114.0,420.0,117.0,0.0,0.0,0.0,1.0,0.0,122.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Burnley,Robbie Brady,ie IRL,MF,27.0,5.0,245.0,13.0,36.0,99.0,112.0,15.0,245.0,10.0,6.0,60.0,4.0,40.0,123.0,580.0,276.0,5.0,10.0,0.0,11.0,11.0,139.0,23.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Burnley,Aaron Lennon,eng ENG,MF,32.0,5.5,182.0,12.0,32.0,77.0,73.0,5.0,182.0,8.0,3.0,37.5,5.0,62.5,97.0,599.0,286.0,11.0,8.0,4.0,7.0,4.0,102.0,18.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Burnley,Danny Drinkwater,eng ENG,MF,29.0,0.6,28.0,2.0,5.0,20.0,3.0,0.0,28.0,0.0,0.0,,0.0,,9.0,33.0,8.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Burnley,Max Thompson,eng ENG,FW,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Burnley,Squad Total,,,28.0,38.0,18827.0,2224.0,5596.0,8993.0,4410.0,617.0,18823.0,454.0,246.0,54.2,208.0,45.8,8828.0,46545.0,21653.0,437.0,352.0,71.0,509.0,291.0,9969.0,882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Burnley,Opponent Total,,,26.5,38.0,24517.0,2323.0,7873.0,10580.0,6246.0,895.0,24512.0,585.0,345.0,59.0,240.0,41.0,14297.0,77390.0,41013.0,857.0,569.0,231.0,518.0,307.0,15690.0,1528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,James Ward-Prowse,eng ENG,"MF,DF",24.0,38.0,2413.0,118.0,441.0,1267.0,721.0,42.0,2411.0,21.0,14.0,66.7,7.0,33.3,896.0,3484.0,1356.0,17.0,36.0,3.0,28.0,21.0,1165.0,82.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
