Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2010-2011,SeriaA,Milan,Christian Abbiati,it ITA,GK,33.0,34.2,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Thiago Silva,br BRA,DF,25.0,32.2,1.0,,8.0,,,0.25,,0.13,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Zlatan Ibrahimović,se SWE,FW,28.0,28.1,14.0,,58.0,,,2.06,,0.19,,3.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Gennaro Gattuso,it ITA,MF,32.0,24.4,2.0,,6.0,,,0.25,,0.33,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Ignazio Abate,it ITA,"DF,MF",23.0,26.8,0.0,,2.0,,,0.07,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Robinho,br BRA,"FW,MF",26.0,25.9,14.0,,47.0,,,1.82,,0.3,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Alessandro Nesta,it ITA,DF,34.0,24.8,0.0,,1.0,,,0.04,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Clarence Seedorf,nl NED,MF,34.0,23.7,4.0,,20.0,,,0.84,,0.2,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Alexandre Pato,br BRA,"FW,MF",20.0,17.7,14.0,,31.0,,,1.75,,0.45,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Kevin-Prince Boateng,gh GHA,"FW,MF",23.0,18.2,3.0,,12.0,,,0.66,,0.25,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Luca Antonini,it ITA,"DF,MF",27.0,18.0,0.0,,1.0,,,0.06,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Massimo Ambrosini,it ITA,MF,33.0,15.4,1.0,,2.0,,,0.13,,0.5,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Gianluca Zambrotta,it ITA,DF,33.0,14.6,0.0,,2.0,,,0.14,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Daniele Bonera,it ITA,DF,29.0,14.2,0.0,,1.0,,,0.07,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Mathieu Flamini,fr FRA,MF,26.0,15.8,2.0,,11.0,,,0.7,,0.18,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Mark van Bommel,nl NED,MF,33.0,12.5,0.0,,1.0,,,0.08,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Andrea Pirlo,it ITA,MF,31.0,12.7,1.0,,5.0,,,0.39,,0.2,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Mario Yepes,co COL,DF,34.0,11.5,0.0,,2.0,,,0.17,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Antonio Cassano,it ITA,FW,28.0,10.2,4.0,,8.0,,,0.78,,0.25,,2.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Ronaldinho,br BRA,"FW,MF",30.0,6.8,0.0,,6.0,,,0.89,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,SeriaA,Milan,Alexander Merkel,kz KAZ,MF,18.0,4.6,0.0,,1.0,,,0.22,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
