season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2001-2002,Bundesliga,Dortmund,Jan Koller,cz CZE,FW,28.0,33.0,33.0,2916.0,32.4,11.0,8.0,19.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.34,0.25,0.59,0.34,0.59,Matches,0.0
2001-2002,Bundesliga,Dortmund,Jens Lehmann,de GER,GK,31.0,30.0,30.0,2638.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2001-2002,Bundesliga,Dortmund,Tomáš Rosický,cz CZE,MF,20.0,30.0,30.0,2493.0,27.7,5.0,9.0,14.0,5.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.18,0.32,0.51,0.18,0.51,Matches,0.0
2001-2002,Bundesliga,Dortmund,Christian Wörns,de GER,DF,29.0,29.0,28.0,2462.0,27.4,2.0,1.0,3.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches,0.0
2001-2002,Bundesliga,Dortmund,Dedê,br BRA,DF,23.0,28.0,28.0,2450.0,27.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,Matches,0.0
2001-2002,Bundesliga,Dortmund,Stefan Reuter,de GER,"DF,MF",34.0,28.0,26.0,2171.0,24.1,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,0.0
2001-2002,Bundesliga,Dortmund,Evanílson,br BRA,"DF,FW",25.0,27.0,25.0,2252.0,25.0,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,0.0
2001-2002,Bundesliga,Dortmund,Márcio Amoroso,br BRA,FW,27.0,31.0,25.0,2125.0,23.6,18.0,4.0,22.0,11.0,7.0,7.0,6.0,0.0,0.0,0.0,0.0,0.76,0.17,0.93,0.47,0.64,Matches,0.0
2001-2002,Bundesliga,Dortmund,Lars Ricken,de GER,"FW,MF",25.0,28.0,25.0,2021.0,22.5,6.0,2.0,8.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.27,0.09,0.36,0.27,0.36,Matches,0.0
2001-2002,Bundesliga,Dortmund,Christoph Metzelder,de GER,DF,20.0,25.0,24.0,2062.0,22.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,0.0
2001-2002,Bundesliga,Dortmund,Ewerthon,br BRA,FW,20.0,27.0,22.0,1898.0,21.1,10.0,4.0,14.0,10.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.47,0.19,0.66,0.47,0.66,Matches,0.0
2001-2002,Bundesliga,Dortmund,Jürgen Kohler,de GER,DF,35.0,22.0,16.0,1510.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2001-2002,Bundesliga,Dortmund,Sebastian Kehl,de GER,"DF,MF",21.0,15.0,15.0,1332.0,14.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,0.0
2001-2002,Bundesliga,Dortmund,Jörg Heinrich,de GER,"DF,MF",31.0,16.0,14.0,1115.0,12.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.16,0.08,0.24,0.16,0.24,Matches,0.0
2001-2002,Bundesliga,Dortmund,Sunday Oliseh,ng NGA,"DF,MF",26.0,18.0,11.0,1178.0,13.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,0.0
2001-2002,Bundesliga,Dortmund,Miroslav Stević,rs SRB,MF,31.0,24.0,7.0,972.0,10.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,0.0
2001-2002,Bundesliga,Dortmund,Jan-Derek Sørensen,no NOR,"FW,MF",29.0,15.0,6.0,578.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2001-2002,Bundesliga,Dortmund,Otto Addo,gh GHA,MF,26.0,8.0,5.0,496.0,5.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.18,Matches,0.0
