Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2015-2016,EPL,Leicester City,Kasper Schmeichel,dk DEN,GK,28.0,38.0,38.0,3420.0,38.0,36.0,0.95,136.0,100.0,73.5,23.0,12.0,3.0,15.0,39.5,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,EPL,Leicester City,Squad Total,,,27.7,38.0,38.0,3420.0,38.0,36.0,0.95,136.0,100.0,73.5,23.0,12.0,3.0,15.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,EPL,Leicester City,Opponent Total,,,26.9,38.0,38.0,3419.0,38.0,68.0,1.79,167.0,111.0,65.3,3.0,12.0,23.0,3.0,7.9,13.0,10.0,2.0,1.0,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,EPL,Arsenal,Petr Čech,cz CZE,GK,33.0,34.0,34.0,3060.0,34.0,31.0,0.91,126.0,95.0,75.4,18.0,9.0,7.0,16.0,47.1,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,EPL,Arsenal,David Ospina,co COL,GK,26.0,4.0,4.0,360.0,4.0,5.0,1.25,22.0,17.0,77.3,2.0,2.0,0.0,2.0,50.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,EPL,Arsenal,Squad Total,,,27.0,38.0,38.0,3420.0,38.0,36.0,0.95,148.0,112.0,75.7,20.0,11.0,7.0,18.0,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,EPL,Arsenal,Opponent Total,,,26.7,38.0,38.0,3420.0,38.0,65.0,1.71,204.0,140.0,68.6,7.0,11.0,20.0,8.0,21.1,2.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,EPL,Tottenham,Hugo Lloris,fr FRA,GK,28.0,37.0,37.0,3330.0,37.0,34.0,0.92,119.0,85.0,71.4,19.0,13.0,5.0,13.0,35.1,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,EPL,Tottenham,Michel Vorm,nl NED,GK,31.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,1.0,50.0,0.0,0.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,EPL,Tottenham,Squad Total,,,24.5,38.0,38.0,3420.0,38.0,35.0,0.92,121.0,86.0,71.1,19.0,13.0,6.0,13.0,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
