season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2010-2011,EPL,Manchester Utd,Nemanja Vidić,rs SRB,DF,28.0,35.0,35.0,3116.0,34.6,5.0,1.0,6.0,5.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.14,0.03,0.17,0.14,0.17,Matches,0.0
2010-2011,EPL,Manchester Utd,Patrice Evra,fr FRA,DF,29.0,35.0,34.0,2961.0,32.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,0.0
2010-2011,EPL,Manchester Utd,Edwin van der Sar,nl NED,GK,39.0,33.0,33.0,2970.0,33.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,0.0
2010-2011,EPL,Manchester Utd,Nani,pt POR,"FW,MF",23.0,33.0,31.0,2659.0,29.5,9.0,14.0,23.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.47,0.78,0.3,0.78,Matches,0.0
2010-2011,EPL,Manchester Utd,Wayne Rooney,eng ENG,"FW,MF",24.0,28.0,25.0,2225.0,24.7,11.0,11.0,22.0,8.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.44,0.44,0.89,0.32,0.77,Matches,0.0
2010-2011,EPL,Manchester Utd,Dimitar Berbatov,bg BUL,FW,29.0,32.0,24.0,2208.0,24.5,20.0,4.0,24.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.82,0.16,0.98,0.82,0.98,Matches,0.0
2010-2011,EPL,Manchester Utd,Darren Fletcher,sct SCO,MF,26.0,26.0,24.0,2109.0,23.4,2.0,6.0,8.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.09,0.26,0.34,0.09,0.34,Matches,0.0
2010-2011,EPL,Manchester Utd,Michael Carrick,eng ENG,MF,29.0,28.0,23.0,1972.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2010-2011,EPL,Manchester Utd,Rio Ferdinand,eng ENG,DF,31.0,19.0,19.0,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2010-2011,EPL,Manchester Utd,Ryan Giggs,wls WAL,"FW,MF",36.0,25.0,19.0,1676.0,18.6,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.11,0.32,0.43,0.11,0.43,Matches,0.0
2010-2011,EPL,Manchester Utd,John O'Shea,ie IRL,"DF,MF",29.0,20.0,18.0,1541.0,17.1,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.18,Matches,0.0
2010-2011,EPL,Manchester Utd,Paul Scholes,eng ENG,MF,35.0,22.0,16.0,1537.0,17.1,1.0,3.0,4.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.06,0.18,0.23,0.06,0.23,Matches,0.0
2010-2011,EPL,Manchester Utd,Javier Hernández,mx MEX,FW,22.0,27.0,15.0,1492.0,16.6,13.0,1.0,14.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.78,0.06,0.84,0.78,0.84,Matches,0.0
2010-2011,EPL,Manchester Utd,Rafael,br BRA,"DF,MF",20.0,16.0,15.0,1198.0,13.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,0.0
2010-2011,EPL,Manchester Utd,Anderson,br BRA,MF,22.0,18.0,14.0,1182.0,13.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.08,0.15,0.23,0.08,0.23,Matches,0.0
2010-2011,EPL,Manchester Utd,Park Ji-sung,kr KOR,MF,29.0,15.0,13.0,1080.0,12.0,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42,0.25,0.67,0.42,0.67,Matches,0.0
2010-2011,EPL,Manchester Utd,Chris Smalling,eng ENG,DF,20.0,16.0,11.0,1086.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2010-2011,EPL,Manchester Utd,Jonny Evans,nir NIR,DF,22.0,13.0,11.0,1005.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2010-2011,EPL,Manchester Utd,Antonio Valencia,ec ECU,"DF,MF",24.0,10.0,8.0,742.0,8.2,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12,0.24,0.36,0.12,0.36,Matches,0.0
