Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2004-2005,Bundesliga,Bayern Munich,Roy Makaay,nl NED,FW,29.0,33.0,33.0,2840.0,31.6,22.0,10.0,32.0,19.0,3.0,3.0,1.0,0.0,,,,0.7,0.32,1.01,0.6,0.92,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Bundesliga,Bayern Munich,Lúcio,br BRA,DF,26.0,32.0,32.0,2795.0,31.1,3.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,,,,0.1,0.0,0.1,0.1,0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Bundesliga,Bayern Munich,Oliver Kahn,de GER,GK,35.0,32.0,32.0,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Bundesliga,Bayern Munich,Michael Ballack,de GER,MF,27.0,27.0,27.0,2396.0,26.6,13.0,6.0,19.0,12.0,1.0,1.0,7.0,0.0,,,,0.49,0.23,0.71,0.45,0.68,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Bundesliga,Bayern Munich,Hasan Salihamidžić,ba BIH,"DF,MF",27.0,29.0,26.0,2212.0,24.6,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,,,,0.08,0.08,0.16,0.08,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Bundesliga,Bayern Munich,Torsten Frings,de GER,MF,27.0,29.0,24.0,2152.0,23.9,3.0,4.0,7.0,3.0,0.0,0.0,6.0,0.0,,,,0.13,0.17,0.29,0.13,0.29,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Bundesliga,Bayern Munich,Robert Kovač,hr CRO,DF,30.0,22.0,21.0,1919.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Bundesliga,Bayern Munich,Claudio Pizarro,pe PER,FW,25.0,23.0,21.0,1715.0,19.1,11.0,4.0,15.0,11.0,0.0,0.0,2.0,0.0,,,,0.58,0.21,0.79,0.58,0.79,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Bundesliga,Bayern Munich,Willy Sagnol,fr FRA,DF,27.0,22.0,20.0,1801.0,20.0,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,,,,0.05,0.25,0.3,0.05,0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Bundesliga,Bayern Munich,Owen Hargreaves,eng ENG,MF,23.0,27.0,20.0,1658.0,18.4,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,,,,0.05,0.16,0.22,0.05,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
