season,league,team,unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,unnamed:_24_level_0_matches,playing_time_mp
2019-2020,LaLiga,Real Madrid,Karim Benzema,fr FRA,FW,31.0,37.0,36.0,3141.0,34.9,21.0,8.0,29.0,16.0,5.0,5.0,0.0,0.0,110.0,173.0,270.0,0.6,0.23,0.83,0.46,0.69,0.0,0.0
2019-2020,LaLiga,Real Madrid,Casemiro,br BRA,MF,27.0,35.0,35.0,3088.0,34.3,4.0,3.0,7.0,4.0,0.0,0.0,12.0,0.0,16.0,201.0,26.0,0.12,0.09,0.2,0.12,0.2,0.0,0.0
2019-2020,LaLiga,Real Madrid,Sergio Ramos,es ESP,DF,33.0,35.0,35.0,3013.0,33.5,11.0,0.0,11.0,5.0,6.0,6.0,10.0,0.0,21.0,166.0,7.0,0.33,0.0,0.33,0.15,0.15,0.0,0.0
2019-2020,LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,27.0,34.0,34.0,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-2020,LaLiga,Real Madrid,Raphaël Varane,fr FRA,DF,26.0,32.0,32.0,2822.0,31.4,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,7.0,68.0,3.0,0.06,0.03,0.1,0.06,0.1,0.0,0.0
2019-2020,LaLiga,Real Madrid,Dani Carvajal,es ESP,DF,27.0,31.0,31.0,2738.0,30.4,1.0,5.0,6.0,1.0,0.0,0.0,11.0,0.0,91.0,182.0,195.0,0.03,0.16,0.2,0.03,0.2,0.0,0.0
2019-2020,LaLiga,Real Madrid,Toni Kroos,de GER,MF,29.0,35.0,31.0,2652.0,29.5,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,61.0,298.0,73.0,0.14,0.17,0.31,0.14,0.31,0.0,0.0
2019-2020,LaLiga,Real Madrid,Luka Modrić,hr CRO,MF,33.0,31.0,22.0,1996.0,22.2,3.0,7.0,10.0,3.0,0.0,0.0,7.0,1.0,64.0,183.0,83.0,0.14,0.32,0.45,0.14,0.45,0.0,0.0
2019-2020,LaLiga,Real Madrid,Federico Valverde,uy URU,MF,21.0,33.0,21.0,1907.0,21.2,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,41.0,112.0,69.0,0.09,0.24,0.33,0.09,0.33,0.0,0.0
2019-2020,LaLiga,Real Madrid,Ferland Mendy,fr FRA,DF,24.0,25.0,19.0,1809.0,20.1,1.0,3.0,4.0,1.0,0.0,0.0,8.0,1.0,69.0,64.0,131.0,0.05,0.15,0.2,0.05,0.2,0.0,0.0
2019-2020,LaLiga,Real Madrid,Marcelo,br BRA,DF,31.0,15.0,15.0,1296.0,14.4,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,45.0,112.0,123.0,0.07,0.14,0.21,0.07,0.21,0.0,0.0
2019-2020,LaLiga,Real Madrid,Isco,es ESP,"FW,MF",27.0,23.0,15.0,1181.0,13.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,48.0,96.0,75.0,0.08,0.15,0.23,0.08,0.23,0.0,0.0
2019-2020,LaLiga,Real Madrid,Eden Hazard,be BEL,"FW,MF",28.0,16.0,14.0,1077.0,12.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,86.0,59.0,162.0,0.08,0.25,0.33,0.08,0.33,0.0,0.0
