Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2020-2021,LaLiga,Real Sociedad,Squad Total,,,25.0,38.0,38.0,3.0,0.0,4.0,1.0,35.0,0.3,-2.0,-0.05,204.0,520.0,39.2,998.0,132.0,38.2,35.1,217.0,64.1,49.7,415.0,9.0,2.2,47.0,1.24,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Sociedad,Opponent Total,,,27.4,38.0,59.0,9.0,2.0,8.0,1.0,53.5,0.3,-4.5,-0.12,295.0,744.0,39.7,1019.0,132.0,51.3,39.8,285.0,77.5,53.6,523.0,15.0,2.9,36.0,0.95,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Betis,Claudio Bravo,cl CHI,GK,37.0,20.0,25.0,4.0,0.0,0.0,1.0,24.0,0.26,0.0,0.0,117.0,328.0,35.7,518.0,82.0,47.3,38.1,129.0,64.3,48.5,287.0,11.0,3.8,16.0,0.8,13.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Betis,Joel Robles,es ESP,GK,30.0,18.0,25.0,4.0,1.0,4.0,2.0,22.8,0.3,-0.2,-0.01,95.0,278.0,34.2,440.0,81.0,48.4,37.8,116.0,56.0,42.7,218.0,9.0,4.1,32.0,1.78,19.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Betis,Squad Total,,,27.9,38.0,50.0,8.0,1.0,4.0,3.0,46.8,0.28,-0.2,0.0,212.0,606.0,35.0,958.0,163.0,47.8,37.9,245.0,60.4,45.7,505.0,20.0,4.0,48.0,1.26,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Betis,Opponent Total,,,27.4,38.0,50.0,8.0,1.0,9.0,0.0,51.0,0.26,1.0,0.03,201.0,526.0,38.2,1047.0,146.0,37.7,35.0,265.0,49.4,40.8,454.0,15.0,3.3,36.0,0.95,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Villarreal,Sergio Asenjo,es ESP,GK,31.0,36.0,40.0,7.0,0.0,3.0,2.0,36.0,0.24,-2.0,-0.06,157.0,406.0,38.7,1022.0,190.0,26.3,30.2,283.0,48.4,40.4,564.0,27.0,4.8,32.0,0.89,13.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Villarreal,Gerónimo Rulli,ar ARG,GK,28.0,2.0,4.0,0.0,0.0,0.0,0.0,2.7,0.33,-1.3,-0.67,10.0,25.0,40.0,76.0,18.0,21.1,25.9,21.0,42.9,41.1,33.0,1.0,3.0,0.0,0.0,9.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Villarreal,Squad Total,,,28.0,38.0,44.0,7.0,0.0,3.0,2.0,38.7,0.25,-3.3,-0.09,167.0,431.0,38.7,1098.0,208.0,26.0,29.9,304.0,48.0,40.5,597.0,28.0,4.7,32.0,0.84,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Villarreal,Opponent Total,,,27.5,38.0,60.0,12.0,1.0,3.0,3.0,63.1,0.32,6.1,0.16,232.0,601.0,38.6,972.0,143.0,44.1,37.5,255.0,67.5,48.6,420.0,16.0,3.8,61.0,1.61,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Celta Vigo,Iván Villar,es ESP,GK,23.0,19.8,30.0,6.0,1.0,2.0,1.0,27.1,0.28,-1.9,-0.1,100.0,338.0,29.6,505.0,77.0,45.0,37.1,172.0,64.5,49.4,319.0,7.0,2.2,31.0,1.57,15.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Celta Vigo,Rubén Blanco,es ESP,GK,25.0,18.2,27.0,1.0,1.0,2.0,0.0,22.6,0.36,-4.4,-0.24,94.0,269.0,34.9,520.0,79.0,35.2,32.7,143.0,60.1,43.2,234.0,3.0,1.3,14.0,0.77,15.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Celta Vigo,Squad Total,,,26.6,38.0,57.0,7.0,2.0,4.0,1.0,49.7,0.32,-6.3,-0.17,194.0,607.0,32.0,1025.0,156.0,40.0,34.9,315.0,62.5,46.6,553.0,10.0,1.8,45.0,1.18,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Celta Vigo,Opponent Total,,,27.4,38.0,55.0,7.0,1.0,4.0,0.0,50.5,0.31,-4.5,-0.12,267.0,615.0,43.4,948.0,132.0,48.8,39.7,220.0,69.1,49.6,416.0,13.0,3.1,36.0,0.95,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Granada,Rui Silva,pt POR,GK,26.0,32.0,55.0,5.0,2.0,3.0,1.0,48.6,0.29,-5.4,-0.17,264.0,713.0,37.0,806.0,66.0,61.7,43.9,265.0,81.5,55.7,461.0,10.0,2.2,51.0,1.59,18.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Granada,Aarón Escandell,es ESP,GK,24.0,5.0,8.0,0.0,0.0,0.0,0.0,10.2,0.44,2.2,0.44,37.0,111.0,33.3,125.0,13.0,67.2,46.5,33.0,81.8,60.5,65.0,2.0,3.1,11.0,2.2,18.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Granada,Ángel,es ESP,GK,18.0,1.0,2.0,1.0,0.0,1.0,0.0,3.1,0.13,1.1,1.15,9.0,24.0,37.5,14.0,0.0,71.4,43.7,17.0,82.4,54.8,20.0,0.0,0.0,0.0,0.0,7.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
