Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2022-2023,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,MF,27.0,33.0,2809.0,85.0,91.8,31.2,32.0,86.0,27.0,1.0,45.0,0.0,2.06,85.0,36.0,49.0,1.57,-0.22,68.4,35.1,33.3,1.07,-0.55,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Benjamin Pavard,fr FRA,DF,26.0,30.0,2431.0,81.0,79.4,27.0,27.0,87.0,24.0,3.0,23.0,3.0,2.3,76.0,29.0,47.0,1.74,0.74,61.6,28.4,33.2,1.23,0.57,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Matthijs de Ligt,nl NED,DF,22.0,31.0,2403.0,78.0,78.5,26.7,27.0,86.0,22.0,4.0,19.0,1.0,2.0,67.0,27.0,40.0,1.5,-0.42,55.4,27.8,27.5,1.03,-0.38,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Dayot Upamecano,fr FRA,DF,23.0,29.0,2348.0,81.0,76.7,26.1,27.0,87.0,25.0,2.0,6.0,0.0,1.93,71.0,29.0,42.0,1.61,0.09,56.2,27.4,28.8,1.1,-0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Jamal Musiala,de GER,"MF,FW",19.0,33.0,2198.0,67.0,71.8,24.4,26.0,77.0,7.0,7.0,27.0,0.0,2.06,63.0,29.0,34.0,1.39,-0.7,53.6,28.4,25.2,1.03,-0.29,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Alphonso Davies,ca CAN,DF,21.0,26.0,2042.0,79.0,66.7,22.7,24.0,82.0,17.0,2.0,38.0,0.0,1.92,59.0,25.0,34.0,1.5,-0.27,47.9,25.0,22.9,1.01,-0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Serge Gnabry,de GER,"FW,MF",27.0,34.0,1941.0,57.0,63.4,21.6,22.0,74.0,9.0,12.0,26.0,0.0,2.09,59.0,21.0,38.0,1.76,0.48,49.0,21.9,27.1,1.26,0.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Leon Goretzka,de GER,MF,27.0,27.0,1728.0,64.0,56.5,19.2,22.0,74.0,7.0,5.0,18.0,1.0,2.0,48.0,23.0,25.0,1.3,-0.66,40.2,24.8,15.4,0.8,-0.71,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Thomas Müller,de GER,"FW,MF",32.0,27.0,1665.0,62.0,54.4,18.5,21.0,73.0,8.0,6.0,23.0,0.0,1.93,50.0,15.0,35.0,1.89,0.67,43.4,17.0,26.4,1.43,0.69,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Leroy Sané,de GER,"MF,FW",26.0,32.0,2010.0,63.0,65.7,22.3,20.0,82.0,11.0,12.0,32.0,0.0,2.03,59.0,24.0,35.0,1.57,-0.06,45.5,25.3,20.2,0.91,-0.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
