Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_h,C_h.1,C_h.2,C_h.3,B_l,B_l.1,B_l.2,U_n.5,U_n.6,U_n.7,U_n.8,U_n.9
2019-2020,EPL,Liverpool,Virgil van Dijk,nl NED,DF,28.0,38.0,23.0,12.0,18.0,5.0,0.0,6.0,13.0,46.2,7.0,20.0,15.0,5.0,40.0,63.0,166.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Trent Alexander-Arnold,eng ENG,DF,20.0,35.3,55.0,34.0,35.0,17.0,3.0,36.0,78.0,46.2,42.0,27.0,9.0,18.0,45.0,100.0,84.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Georginio Wijnaldum,nl NED,MF,28.0,32.6,38.0,20.0,12.0,21.0,5.0,10.0,40.0,25.0,30.0,18.0,4.0,14.0,17.0,55.0,34.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Andrew Robertson,sct SCO,DF,25.0,34.6,54.0,31.0,17.0,25.0,12.0,27.0,61.0,44.3,34.0,29.0,7.0,22.0,38.0,92.0,72.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Roberto Firmino,br BRA,FW,27.0,33.2,37.0,19.0,8.0,14.0,15.0,10.0,43.0,23.3,33.0,34.0,3.0,31.0,7.0,44.0,11.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Mohamed Salah,eg EGY,FW,27.0,32.0,16.0,6.0,1.0,4.0,11.0,5.0,22.0,22.7,17.0,3.0,1.0,2.0,8.0,24.0,2.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Sadio Mané,sn SEN,FW,27.0,30.5,44.0,32.0,9.0,20.0,15.0,13.0,40.0,32.5,27.0,19.0,0.0,19.0,13.0,57.0,11.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Alisson,br BRA,GK,26.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,13.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Jordan Henderson,eng ENG,MF,29.0,24.9,63.0,41.0,18.0,33.0,12.0,22.0,55.0,40.0,33.0,22.0,4.0,18.0,30.0,93.0,21.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Fabinho,br BRA,MF,25.0,23.1,62.0,35.0,20.0,35.0,7.0,26.0,67.0,38.8,41.0,25.0,2.0,23.0,34.0,96.0,19.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
