Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2019-2020,EPL,Liverpool,Virgil van Dijk,nl NED,DF,28.0,38.0,3420.0,90.0,100.0,38.0,38.0,90.0,38.0,0.0,,0.0,2.61,85.0,33.0,52.0,1.37,,68.9,37.7,31.2,0.82,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Trent Alexander-Arnold,eng ENG,DF,20.0,38.0,3175.0,84.0,92.8,35.3,35.0,88.0,31.0,3.0,26.0,0.0,2.61,80.0,32.0,48.0,1.36,-0.11,65.7,36.7,29.0,0.82,0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Georginio Wijnaldum,nl NED,MF,28.0,37.0,2935.0,79.0,85.8,32.6,35.0,82.0,20.0,2.0,28.0,0.0,2.59,74.0,28.0,46.0,1.41,0.3,57.9,34.1,23.8,0.73,-0.64,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Andrew Robertson,sct SCO,DF,25.0,36.0,3111.0,86.0,91.0,34.6,34.0,89.0,30.0,2.0,39.0,0.0,2.64,80.0,31.0,49.0,1.42,0.54,64.7,33.3,31.5,0.91,1.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Roberto Firmino,br BRA,FW,27.0,38.0,2988.0,79.0,87.4,33.2,34.0,84.0,14.0,4.0,33.0,0.0,2.61,75.0,26.0,49.0,1.48,0.85,62.2,31.9,30.3,0.91,0.74,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Mohamed Salah,eg EGY,FW,27.0,34.0,2876.0,85.0,84.1,32.0,33.0,86.0,20.0,1.0,27.0,3.0,2.68,68.0,26.0,42.0,1.31,-0.34,58.9,31.2,27.8,0.87,0.31,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Sadio Mané,sn SEN,FW,27.0,35.0,2747.0,78.0,80.3,30.5,31.0,85.0,19.0,4.0,26.0,1.0,2.57,66.0,28.0,38.0,1.24,-0.63,54.0,29.3,24.8,0.81,-0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Alisson,br BRA,GK,26.0,29.0,2543.0,88.0,74.4,28.3,29.0,88.0,27.0,0.0,,0.0,2.48,61.0,23.0,38.0,1.34,-0.09,50.0,27.3,22.7,0.8,-0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Jordan Henderson,eng ENG,MF,29.0,30.0,2238.0,75.0,65.4,24.9,26.0,84.0,16.0,4.0,16.0,1.0,2.77,54.0,14.0,40.0,1.61,0.69,45.1,22.7,22.4,0.9,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Fabinho,br BRA,MF,25.0,28.0,2079.0,74.0,60.8,23.1,22.0,89.0,21.0,6.0,22.0,2.0,2.46,50.0,26.0,24.0,1.04,-0.84,41.0,25.8,15.2,0.66,-0.41,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Joe Gomez,eng ENG,DF,22.0,28.0,2004.0,72.0,58.6,22.3,22.0,88.0,21.0,6.0,12.0,9.0,2.64,53.0,16.0,37.0,1.66,0.71,42.2,20.9,21.4,0.96,0.34,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",25.0,30.0,1485.0,50.0,43.4,16.5,17.0,70.0,0.0,13.0,23.0,4.0,2.5,35.0,12.0,23.0,1.39,0.05,27.6,17.4,10.2,0.62,-0.36,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,James Milner,eng ENG,"MF,DF",33.0,22.0,937.0,43.0,27.4,10.4,9.0,83.0,7.0,13.0,15.0,5.0,2.91,26.0,9.0,17.0,1.63,0.36,20.8,8.9,11.9,1.15,0.45,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Adrián,es ESP,GK,32.0,11.0,875.0,80.0,25.6,9.7,9.0,90.0,9.0,2.0,33.0,27.0,3.0,24.0,10.0,14.0,1.44,0.1,18.9,10.5,8.4,0.86,0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Naby Keïta,gn GUI,MF,24.0,18.0,815.0,45.0,23.8,9.1,9.0,73.0,1.0,9.0,18.0,9.0,2.33,19.0,8.0,11.0,1.21,-0.2,15.6,6.8,8.8,0.97,0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Dejan Lovren,hr CRO,DF,30.0,10.0,777.0,78.0,22.7,8.6,9.0,84.0,8.0,1.0,18.0,10.0,2.5,19.0,11.0,8.0,0.93,-0.57,15.4,9.4,6.0,0.69,-0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Joël Matip,cm CMR,DF,27.0,9.0,703.0,78.0,20.6,7.8,8.0,88.0,7.0,1.0,1.0,7.0,2.56,15.0,5.0,10.0,1.28,-0.11,12.0,7.7,4.3,0.55,-0.34,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Divock Origi,be BEL,FW,24.0,28.0,717.0,26.0,21.0,8.0,7.0,61.0,0.0,21.0,14.0,9.0,2.54,23.0,12.0,11.0,1.38,0.02,14.2,10.9,3.3,0.42,-0.51,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Adam Lallana,eng ENG,"MF,FW",31.0,15.0,382.0,25.0,11.2,4.2,3.0,73.0,0.0,12.0,14.0,11.0,2.67,9.0,5.0,4.0,0.94,-0.48,8.0,4.3,3.7,0.86,0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Neco Williams,wls WAL,DF,18.0,6.0,230.0,38.0,6.7,2.6,3.0,66.0,0.0,3.0,11.0,9.0,2.17,5.0,2.0,3.0,1.17,-0.21,3.2,1.9,1.3,0.52,-0.33,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Takumi Minamino,jp JPN,"FW,MF",24.0,10.0,249.0,25.0,7.3,2.8,2.0,54.0,0.0,8.0,18.0,7.0,1.9,4.0,2.0,2.0,0.72,-0.7,5.0,2.5,2.5,0.89,0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Xherdan Shaqiri,ch SUI,"FW,MF",27.0,7.0,185.0,26.0,5.4,2.1,2.0,80.0,1.0,5.0,5.0,10.0,2.57,6.0,2.0,4.0,1.95,0.61,3.5,3.1,0.4,0.19,-0.67,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Curtis Jones,eng ENG,MF,18.0,6.0,126.0,21.0,3.7,1.4,1.0,68.0,0.0,5.0,12.0,10.0,2.67,4.0,1.0,3.0,2.14,0.8,2.6,0.5,2.1,1.49,0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Harvey Elliott,eng ENG,DF,16.0,2.0,8.0,4.0,0.2,0.1,0.0,,0.0,2.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,-1.37,0.2,0.0,0.2,1.9,1.08,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
